bus_id,bus_name,name_geosadi,match_status,baskv_kv,lat,lon,ide,ide_desc,area,zone,owner,vm_pu,va_deg,coord_offset_applied
10,NPMADRYN,PUERTO MADRYN,ok,500.0,-42.7044556209301,-65.1051158026521,1,PQ,21,51,10,1.02483,24.7719,False
11,NPMD.CHL,,ok,500.0,-42.696274,-65.106295,1,PQ,21,51,10,0.99492,35.2339,False
12,SCN_500,SANTA CRUZ NORTE,ok,500.0,-46.7742815027891,-67.9792001395747,1,PQ,21,52,10,1.01272,28.0957,False
15,RSCRUZ,RIO SANTA CRUZ,ok,500.0,-49.9861809102208,-68.973397016559,1,PQ,21,52,10,1.00693,27.2206,False
19,ESPERANZ,ESPERANZA PAT,ok,500.0,-51.0427218374428,-70.7142704645103,1,PQ,21,52,10,1.005,26.8682,False
1000,CHOCON,EL CHOCON,ok,500.0,-39.2577787621801,-68.7481460243195,1,PQ,7,27,10,1.02377,22.1114,False
1002,P.AGUILA,P. DEL AGUILA (CH),ok,500.0,-40.1892618749355,-69.991493972269,1,PQ,7,27,10,1.01164,27.0372,False
1004,CHOCONOE,EL CHOCON OESTE,ok,500.0,-39.2373797693608,-68.7793992577695,1,PQ,7,27,10,1.02393,22.2018,False
1006,CHOE.CH,CHOELE CHOEL,ok,500.0,-39.5683494675538,-65.6919994879859,1,PQ,7,27,10,1.00865,15.8777,False
1007,CHOE.PA,,ok,500.0,-39.568589,-65.69434,1,PQ,7,27,10,1.03107,15.0609,False
1008,CH.CHOEL,CHOELE CHOEL,ok,500.0,-39.5683494675538,-65.6918994879858,1,PQ,7,26,10,1.00885,19.5791,False
1010,CHOE.BB1,,ok,500.0,-38.656707,-62.054947,1,PQ,7,26,10,0.99279,27.8937,False
1011,CHOE.BB2,,ok,500.0,-38.656707,-62.054846999999995,1,PQ,7,26,10,0.99478,26.6059,True
1012,C.COSTA,CERRITO DE LA COSTA,ok,500.0,-38.7197148748415,-68.2573668444043,1,PQ,7,27,10,1.0178,17.8369,False
