bus_id,bus_name,bus_name_psse,bus_type,baskv_kv,ide,ide_desc,vm_pu,va_deg,lat,lon,parent_bus_id,name_geosadi
10,NPMADRYN,,500kV,500.0,1,PQ,1.02483,24.7719,-42.7044556209301,-65.1051158026521,,PUERTO MADRYN
11,NPMD.CHL,,500kV,500.0,1,PQ,0.99492,35.2339,-42.696274,-65.106295,,
12,SCN_500,,500kV,500.0,1,PQ,1.01272,28.0957,-46.7742815027891,-67.9792001395747,,SANTA CRUZ NORTE
15,RSCRUZ,,500kV,500.0,1,PQ,1.00693,27.2206,-49.9861809102208,-68.973397016559,,RIO SANTA CRUZ
19,ESPERANZ,,500kV,500.0,1,PQ,1.005,26.8682,-51.0427218374428,-70.7142704645103,,ESPERANZA PAT
1000,CHOCON,,500kV,500.0,1,PQ,1.02377,22.1114,-39.2577787621801,-68.7481460243195,,EL CHOCON
1002,P.AGUILA,,500kV,500.0,1,PQ,1.01164,27.0372,-40.1892618749355,-69.991493972269,,P. DEL AGUILA (CH)
1004,CHOCONOE,,500kV,500.0,1,PQ,1.02393,22.2018,-39.2373797693608,-68.7793992577695,,EL CHOCON OESTE
1006,CHOE.CH,,500kV,500.0,1,PQ,1.00865,15.8777,-39.5683494675538,-65.6919994879859,,CHOELE CHOEL
1007,CHOE.PA,,500kV,500.0,1,PQ,1.03107,15.0609,-39.568589,-65.69434,,
1008,CH.CHOEL,,500kV,500.0,1,PQ,1.00885,19.5791,-39.5683494675538,-65.6918994879858,,CHOELE CHOEL
1010,CHOE.BB1,,500kV,500.0,1,PQ,0.99279,27.8937,-38.656707,-62.054947,,
1011,CHOE.BB2,,500kV,500.0,1,PQ,0.99478,26.6059,-38.656707,-62.054947,,
1012,C.COSTA,,500kV,500.0,1,PQ,1.0178,17.8369,-38.7197148748415,-68.2573668444043,,CERRITO DE LA COSTA
1014,T.AGUI1,,500kV,500.0,1,PQ,1.01247,26.8554,-40.1628926301907,-70.0447524893358,,P. DEL AGUILA
1016,ALICURA,,500kV,500.0,1,PQ,0.99838,27.7819,-40.5796589124288,-70.7486596069552,,ALICURA
1018,C.H.CHOC,,500kV,500.0,1,PQ,1.02387,22.128,-39.2658521830318,-68.7566906701383,,EL CHOCON (CH)
1020,L.LATA,,500kV,500.0,1,PQ,1.01571,19.1323,-38.5126463370588,-68.604384133321,,LOMA LA LATA
1022,PPLEUFU,,500kV,500.0,1,PQ,1.01255,27.0108,-40.0125443968064,-69.9843839303741,,P P LEUFU
1024,P.BAND.,,500kV,500.0,1,PQ,1.01519,18.5896,-38.5599413381222,-68.4729226719437,,P BANDERITA
1025,A.CAJON,,500kV,500.0,1,PQ,1.02264,23.0121,-38.9389597169173,-68.3559840709081,,AGUA DE CAJON
1026,PUELCHE1,,500kV,500.0,1,PQ,1.00785,4.6117,-38.1501427980517,-65.8229596357785,,PUELCHES
1028,PUELCHE2,,500kV,500.0,1,PQ,1.02149,17.1242,-38.1501427980517,-65.8228596357785,,PUELCHES
1030,MACACHIN,,500kV,500.0,1,PQ,1.00318,3.2265,-37.1513829345747,-63.5646568437383,,MACACHIN
2000,B.BLANCA,,500kV,500.0,1,PQ,1.01755,9.6128,-38.6573435823404,-62.0537662366225,,BAHIA BLANCA
2001,GUIBROWN,,500kV,500.0,1,PQ,1.02728,10.6821,-38.6845710141409,-62.4157582655315,,G BROWN
2002,CAMPANA,,500kV,500.0,1,PQ,0.99702,-12.0663,-34.172919501134,-58.998793474739,,NUEVA CAMPANA
2003,BELGRANO1,,500kV,500.0,1,PQ,1.00937,-9.8872,-34.1860753074295,-59.0033994443289,,MANUEL BELGRANO
2004,HENDERS1,,500kV,500.0,1,PQ,1.02289,-7.3517,-36.3459532748237,-61.6707350630726,,HENDERSON
2005,T PEPE,,500kV,500.0,1,PQ,1.01756,9.6149,-38.658942,-62.046672,,
2006,HENDERS2,,500kV,500.0,1,PQ,1.01892,3.8833,-36.3459532748237,-61.6706350630725,,HENDERSON
2008,OLAVARRI,,500kV,500.0,1,PQ,1.00997,1.3065,-36.8392209813632,-60.3439985899629,,OLAVARRIA
2010,OLA.BB1,,500kV,500.0,1,PQ,1.00826,-6.3859,-36.840155,-60.347101,,
2011,OLA.BB2,,500kV,500.0,1,PQ,1.00512,-4.0591,-36.863469,-60.388828,,
2012,OLA.AB1,,500kV,500.0,1,PQ,1.02456,9.4731,-34.970017,-58.161077,,
2013,OLA.AB2,,500kV,500.0,1,PQ,1.01699,8.8735,-34.970079,-58.159912,,
2014,PBUENA1,,500kV,500.0,1,PQ,1.018,9.6108,-38.7865967935072,-62.2517572173216,,PIEDRA BUENA
2016,PBUENA2,,500kV,500.0,1,PQ,1.018,9.613,-38.7865967935072,-62.2517572173216,,PIEDRA BUENA
2018,ATUCHA 2,,500kV,500.0,1,PQ,1.00917,-7.6405,-33.9710612890472,-59.2047888874971,,ATUCHA II
2020,25MAYO_1,,500kV,500.0,1,PQ,1.00408,-4.7206,-35.4813928083314,-60.0694998357488,,25 DE MAYO
2049,VIVO.BB1,,500kV,500.0,1,PQ,1.00501,4.4376,-37.695927,-57.731159,,
2050,VIVORATA,,500kV,500.0,1,PQ,1.00501,4.4376,-37.6937382374297,-57.7318562501658,,VIVORATA
