bus_id,bus_name,bus_name_psse,baskv_kv,ide,ide_desc,vm_pu,va_deg,parent_bus_id
117,ESPERANZ_220kV,ESPERANZ,220.0,1,PQ,,,19
221,NPMADRYN_132kV,PMADRYN2,132.0,1,PQ,,,10
224,NPMADRYN_330kV,NPMAD330,330.0,1,PQ,,,10
315,RSCRUZ_132kV,RSCRUZ,132.0,1,PQ,,,15
461,SCN_500_132kV,SCN_132,132.0,1,PQ,,,12
479,SCN_500_33kV_1,SCN_TER1,33.0,1,PQ,,,12
484,SCN_500_33kV_2,SCN_TER2,33.0,1,PQ,,,12
501,NPMADRYN_33kV_1,PM33_01,33.0,1,PQ,,,10
504,RSCRUZ_33kV,RSCRUZ,33.0,1,PQ,,,15
542,NPMADRYN_33kV_2,PM33_02,33.0,1,PQ,,,10
545,ESPERANZ_33kV,ESP.TER1,33.0,1,PQ,,,19
554,SCN_500_33kV_3,SCN_TER3,33.0,1,PQ,,,12
583,NPMADRYN_33kV_3,TER,33.0,1,PQ,,,10
1200,A.CAJON_132kV_1,ACAJON 1,132.0,1,PQ,,,1025
1203,A.CAJON_132kV_2,ACAJON 3,132.0,1,PQ,,,1025
1204,ALICURA_132kV,ALICURA,132.0,1,PQ,,,1016
1224,CHOCONOE_132kV,CHOCONOE,132.0,1,PQ,,,1004
1226,CH.CHOEL_132kV,CH.CHOEL,132.0,1,PQ,,,1008
1240,CHOCON_132kV,CHOCON,132.0,1,PQ,,,1000
1268,P.BAND._132kV,P.BAND.,132.0,1,PQ,,,1024
1286,PUELCHE1_132kV,PUELCHES,132.0,1,PQ,,,1026
1289,MACACHIN_132kV,MACACHIN,132.0,1,PQ,,,1030
1297,ALICURA_13.2kV_1,ALIC.TER2,13.2,4,isolated - unidad parada en snapshot,,,1016
1299,ALICURA_13.2kV_2,ALIC.TER,13.2,1,PQ,,,1016
1611,ALICURA_13.8kV_1,ALICHI01,13.8,2,PV - generador activo,,,1016
1612,ALICURA_13.8kV_2,ALICHI02,13.8,2,PV - generador activo,,,1016
1613,ALICURA_13.8kV_3,ALICHI03,13.8,2,PV - generador activo,,,1016
1614,ALICURA_13.8kV_4,ALICHI04,13.8,2,PV - generador activo,,,1016
1651,P.AGUILA_15.7kV_1,PAGUHI01,15.7,2,PV - generador activo,,,1002
1652,P.AGUILA_15.7kV_2,PAGUHI02,15.7,2,PV - generador activo,,,1002
1653,P.AGUILA_15.7kV_3,PAGUHI03,15.7,2,PV - generador activo,,,1002
1654,P.AGUILA_15.7kV_4,PAGUHI04,15.7,2,PV - generador activo,,,1002
1661,C.H.CHOC_16kV_1,CHOCHI01,16.0,2,PV - generador activo,,,1018
1662,C.H.CHOC_16kV_2,CHOCHI02,16.0,2,PV - generador activo,,,1018
1663,C.H.CHOC_16kV_3,CHOCHI03,16.0,2,PV - generador activo,,,1018
1664,C.H.CHOC_16kV_4,CHOCHI04,16.0,2,PV - generador activo,,,1018
1665,C.H.CHOC_16kV_5,CHOCHI05,16.0,2,PV - generador activo,,,1018
1666,C.H.CHOC_16kV_6,CHOCHI06,16.0,2,PV - generador activo,,,1018
1671,L.LATA_11.5kV_1,LDLATG01,11.5,2,PV - generador activo,,,1020
1672,L.LATA_11.5kV_2,LDLATG02,11.5,2,PV - generador activo,,,1020
1673,L.LATA_11.5kV_3,LDLATG03,11.5,2,PV - generador activo,,,1020
1674,L.LATA_15.8kV,LDLATV01,15.75,2,PV - generador activo,,,1020
1675,L.LATA_11.5kV_4,LDLATG04,11.5,2,PV - generador activo,,,1020
1677,L.LATA_11.5kV_5,LDLATG05,11.5,2,PV - generador activo,,,1020
1681,PPLEUFU_13.8kV_1,PPLEHI01,13.8,2,PV - generador activo,,,1022
1682,PPLEUFU_13.8kV_2,PPLEHI02,13.8,2,PV - generador activo,,,1022
1683,PPLEUFU_13.8kV_3,PPLEHI03,13.8,4,isolated - unidad parada en snapshot,,,1022
1691,P.BAND._16kV_1,PBANHI01,16.0,2,PV - generador activo,,,1024
1692,P.BAND._16kV_2,PBANHI02,16.0,2,PV - generador activo,,,1024
1803,CHOCONOE_13.2kV,CHNO.TER,13.2,1,PQ,,,1004
1804,CH.CHOEL_13.2kV_1,CHOETER1,13.2,1,PQ,,,1008
1805,CHOCON_13.2kV_1,CHO.TER2,13.2,1,PQ,,,1000
1806,CHOCON_13.2kV_2,CHO.TER4,13.2,1,PQ,,,1000
1809,P.BAND._33kV,PBA2.TER,33.0,1,PQ,,,1024
1812,PUELCHE1_13.2kV,PUEL.TER,13.2,1,PQ,,,1026
1813,A.CAJON_33kV_1,ACAJTER1,33.0,1,PQ,,,1025
1814,A.CAJON_33kV_2,ACAJTER2,33.0,1,PQ,,,1025
1815,MACACHIN_33kV_1,MACA.TER,33.0,4,isolated - unidad parada en snapshot,,,1030
1821,CH.CHOEL_13.2kV_2,CHOETER2,13.2,4,isolated - unidad parada en snapshot,,,1008
1823,MACACHIN_33kV_2,MAC.TER2,33.0,1,PQ,,,1030
2104,HENDERS2_220kV,HENDERSO,220.0,1,PQ,,,2006
2105,RAMALLO_220kV,RAMALLOA,220.0,1,PQ,,,2090
2206,B.BLANCA_132kV_1,B.BCA 1,132.0,1,PQ,,,2000
2208,B.BLANCA_132kV_2,B.BCA2,132.0,1,PQ,,,2000
