cluster_id,centroid_lat,centroid_lon,n_buses,p_nom_hydro_mw,p_nom_nuclear_mw,p_nom_termica_mw,p_nom_wind_mw,p_nom_solar_mw,p_nom_bioenergia_mw,p_nom_total_mw
0,-39.4241,-69.2238,50,4729.2,0.0,1917.8,100.0,0.0,0.0,6747.0
1,-32.1135,-59.7482,67,450.5,0.0,4548.6,0.0,0.0,6.3,5005.4
2,-35.2809,-59.2783,63,0.0,980.5,8931.8,570.6,0.0,26.7,10509.6
3,-26.9118,-58.9977,18,0.0,0.0,199.5,0.0,132.0,29.4,360.9
4,-48.8144,-68.9963,11,0.0,0.0,186.9,538.8,0.0,0.0,725.7
5,-33.0777,-68.5942,12,1136.1,0.0,552.9,0.0,765.3,0.0,2454.3
6,-39.335,-63.7455,31,588.8,0.0,1349.5,2006.9,56.0,0.0,4001.2
7,-27.6643,-56.6181,34,2650.5,0.0,28.0,0.0,0.0,42.0,2720.5
8,-26.3308,-64.7438,25,207.5,0.0,2821.6,0.0,752.4,5.2,3786.8
9,-31.4814,-64.8708,35,518.3,612.6,1490.6,514.2,268.4,0.0,3404.1
