cluster_id,centroid_lat,centroid_lon,n_buses,p_nom_hydro_mw,p_nom_nuclear_mw,p_nom_thermal_mw,p_nom_wind_mw,p_nom_solar_mw,p_nom_bioenergy_mw,p_nom_total_mw,peak_demand_mw
cluster_0,-36.331,-57.9484,2,0.0,0.0,2175.1,50.0,0.0,4.2,2229.4,1104.0
cluster_1,-32.3689,-66.0652,1,0.0,0.0,0.0,201.3,65.9,0.0,267.2,368.0
cluster_10,-24.9897,-64.2871,3,158.4,0.0,1145.2,0.0,685.0,0.0,1988.6,648.0
cluster_11,-50.5145,-69.8438,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0
cluster_12,-31.5652,-68.619,1,291.2,0.0,29.9,0.0,741.1,0.0,1062.2,616.0
cluster_13,-36.5926,-61.0074,2,0.0,0.0,477.8,520.6,0.0,0.0,998.5,1318.0
cluster_14,-46.7743,-67.9792,1,0.0,0.0,186.9,538.8,0.0,0.0,725.7,90.0
cluster_15,-32.0997,-64.1465,5,518.3,612.6,1299.6,62.0,30.6,0.0,2523.1,2373.0
cluster_16,-27.6621,-59.4207,5,0.0,0.0,177.3,0.0,132.0,35.7,345.0,1116.0
cluster_17,-34.6873,-58.9856,10,0.0,980.5,6278.8,0.0,0.0,22.5,7281.8,8038.0
cluster_18,-29.3289,-65.7852,2,0.0,0.0,191.0,250.9,171.8,0.0,613.8,616.0
cluster_19,-33.0979,-68.582,1,844.8,0.0,523.0,0.0,24.2,0.0,1392.0,876.0
cluster_2,-38.9123,-67.9433,9,1970.0,0.0,1897.8,244.0,0.0,0.0,4111.8,697.0
cluster_3,-27.5733,-57.0611,5,2650.5,0.0,98.4,0.0,0.0,42.0,2790.9,1424.0
cluster_4,-27.6637,-64.8721,3,49.1,0.0,1676.5,0.0,67.4,5.2,1798.2,1163.0
cluster_5,-32.1406,-59.4834,14,450.5,0.0,4500.4,0.0,0.0,0.0,4950.9,4608.0
cluster_6,-38.32,-62.5715,4,0.0,0.0,1052.8,953.7,56.0,0.0,2062.5,1150.0
cluster_7,-42.7045,-65.1051,1,573.0,0.0,0.0,771.2,0.0,0.0,1344.2,1012.0
cluster_8,-34.55,-68.5937,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.0
cluster_9,-40.2361,-70.1923,4,2775.0,0.0,20.0,0.0,0.0,0.0,2795.0,113.0
