gen_key,bus_name_origen,geosadi_name,bus_conexion500kv_name,nemo4,carrier,cammesa_units,n_cammesa_units,corrected_unit_name,reviewed,exclude,comment
7648-1,ANCHFV01,F.V. ANCHORIS,GRAN MZA_132kV,ANCH,solar,ANCHDI01|ANCHDI02|ANCHDI03|ANCHDI04,4,,,yes,Solar power plant with no equivalent in CAMMESA. Conflict arose because CAMMESA has plants with the same NEMO4 but classified as diesel generators.
4639-1,ASECTV,C.T. ARROYO SECO,R.OESTE_132kV_1,ASEC,steam,ASECTG01|ASECTG02,2,,,yes,18 MW power plant with no equivalent in CAMMESA.
1624-1,BANDEO01,P.E. LA BANDERITA,PUELCHE1_132kV,BAND,wind,BANDDI01|BANDEO,2,BANDEO,yes,,
2644-1,BBLMDI13,MOTOR. B.BLANCA,B.BLANCA_132kV_1,BBLM,diesel,BBLMDI01|BBLMDI02|BBLMDI03|BBLMDI04|BBLMDI05|BBLMDI06,6,BBLMDI01,yes,,"PSS/E name is abbreviated, manually matched to CAMMESA unit."
2644-2,BBLMDI13,MOTOR. B.BLANCA,B.BLANCA_132kV_1,BBLM,diesel,BBLMDI01|BBLMDI02|BBLMDI03|BBLMDI04|BBLMDI05|BBLMDI06,6,BBLMDI02,yes,,"PSS/E name is abbreviated, manually matched to CAMMESA unit."
2644-3,BBLMDI13,MOTOR. B.BLANCA,B.BLANCA_132kV_1,BBLM,diesel,BBLMDI01|BBLMDI02|BBLMDI03|BBLMDI04|BBLMDI05|BBLMDI06,6,BBLMDI03,yes,,"PSS/E name is abbreviated, manually matched to CAMMESA unit."
2651-4,BBLMDI46,MOTOR. B.BLANCA,B.BLANCA_132kV_1,BBLM,diesel,BBLMDI01|BBLMDI02|BBLMDI03|BBLMDI04|BBLMDI05|BBLMDI06,6,BBLMDI04,yes,,"PSS/E name is abbreviated, manually matched to CAMMESA unit."
2651-5,BBLMDI46,MOTOR. B.BLANCA,B.BLANCA_132kV_1,BBLM,diesel,BBLMDI01|BBLMDI02|BBLMDI03|BBLMDI04|BBLMDI05|BBLMDI06,6,BBLMDI05,yes,,"PSS/E name is abbreviated, manually matched to CAMMESA unit."
2651-6,BBLMDI46,MOTOR. B.BLANCA,B.BLANCA_132kV_1,BBLM,diesel,BBLMDI01|BBLMDI02|BBLMDI03|BBLMDI04|BBLMDI05|BBLMDI06,6,BBLMDI06,yes,,"PSS/E name is abbreviated, manually matched to CAMMESA unit."
2627-3,BROWTV01,GUILLERMO BROWN,GUIBROWN_20kV_3,BROW,ocgt,BROWTG01|BROWTG02,2,,,yes,Steam generator not found in CAMMESA or single-line diagrams. Excluded from model.
8608-1,CAIMDI13,CAIMANCITO,JUANCITO_132kV,CAIM,diesel,CAIMDI01|CAIMDI02|CAIMDI03|CAIMDI04|CAIMDI05,5,CAIMDI01,yes,,"PSS/E name is abbreviated, manually matched to CAMMESA unit."
8608-2,CAIMDI13,CAIMANCITO,JUANCITO_132kV,CAIM,diesel,CAIMDI01|CAIMDI02|CAIMDI03|CAIMDI04|CAIMDI05,5,CAIMDI02,yes,,"PSS/E name is abbreviated, manually matched to CAMMESA unit."
8608-3,CAIMDI13,CAIMANCITO,JUANCITO_132kV,CAIM,diesel,CAIMDI01|CAIMDI02|CAIMDI03|CAIMDI04|CAIMDI05,5,CAIMDI03,yes,,"PSS/E name is abbreviated, manually matched to CAMMESA unit."
8610-4,CAIMDI45,CAIMANCITO,JUANCITO_132kV,CAIM,diesel,CAIMDI01|CAIMDI02|CAIMDI03|CAIMDI04|CAIMDI05,5,CAIMDI04,yes,,"PSS/E name is abbreviated, manually matched to CAMMESA unit."
8610-5,CAIMDI45,CAIMANCITO,JUANCITO_132kV,CAIM,diesel,CAIMDI01|CAIMDI02|CAIMDI03|CAIMDI04|CAIMDI05,5,CAIMDI05,yes,,"PSS/E name is abbreviated, manually matched to CAMMESA unit."
6609-1,CALEFV01,P.S. C.A. LA CALERA S.L.,LUJAN.SL_132kV_1,CALE,solar,CALEFV|CALEHI,2,CALEFV,yes,,
4614-1,CGOMDI12,CATADA DE GOMEZ,S.TOME_132kV_2,CGOM,diesel,CGOMDI01|CGOMDI02|CGOMDI03|CGOMDI04,4,CGOMDI01,yes,,"PSS/E name is abbreviated, manually matched to CAMMESA unit."
4614-2,CGOMDI12,CATADA DE GOMEZ,S.TOME_132kV_2,CGOM,diesel,CGOMDI01|CGOMDI02|CGOMDI03|CGOMDI04,4,CGOMDI02,yes,,"PSS/E name is abbreviated, manually matched to CAMMESA unit."
4616-3,CGOMDI34,CATADA DE GOMEZ,S.TOME_132kV_2,CGOM,diesel,CGOMDI01|CGOMDI02|CGOMDI03|CGOMDI04,4,CGOMDI03,yes,,"PSS/E name is abbreviated, manually matched to CAMMESA unit."
4616-4,CGOMDI34,CATADA DE GOMEZ,S.TOME_132kV_2,CGOM,diesel,CGOMDI01|CGOMDI02|CGOMDI03|CGOMDI04,4,CGOMDI04,yes,,"PSS/E name is abbreviated, manually matched to CAMMESA unit."
437-1,CRIVTG78,CDRO RIVADAVIA,SCN_500_132kV,CRIV,ccgt,CRIVTG21|CRIVTG22|CRIVTG23|CRIVTG26,4,,,yes,"Power plant with no equivalent in CAMMESA, excluded from model."
437-2,CRIVTG78,CDRO RIVADAVIA,SCN_500_132kV,CRIV,ccgt,CRIVTG21|CRIVTG22|CRIVTG23|CRIVTG26,4,,,yes,"Power plant with no equivalent in CAMMESA, excluded from model."
6605-1,DFUNTG12,DEAN FUNES,MALVINAS_132kV,DFUN,ocgt,DFUNTG01|DFUNTG02,2,DFUNTG01,yes,,"PSS/E name is abbreviated, manually matched to CAMMESA unit."
6605-2,DFUNTG12,DEAN FUNES,MALVINAS_132kV,DFUN,ocgt,DFUNTG01|DFUNTG02,2,DFUNTG02,yes,,"PSS/E name is abbreviated, manually matched to CAMMESA unit."
3621-1,DIQUTG13,DIQUE,ABASTO_220kV,DIQU,ocgt,DIQUTG01|DIQUTG02|DIQUTG03|DIQUTG04,4,DIQUTG01,yes,,"PSS/E name is abbreviated, manually matched to CAMMESA unit."
