bus_name_origen,nombre_geosadi,nemo,carrier,p_nom,costo_marginal_match,fuente_costo,CVP_manual,
CRIVTG26,CDRO RIVADAVIA,CRIV,ocgt,0,SI,CVP_TERMICA,,
CRIVTG26,CDRO RIVADAVIA,CRIV,ocgt,0,SI,CVP_TERMICA,,
CRIVTG21,CDRO RIVADAVIA,CRIV,ocgt,14.4,SI,CVP_TERMICA,,
ATU2NUCL,ATUCHA II,ATU2,nuclear,645.5654,SI,CVP_TERMICA,,
EMBANUCL,EMBALSE,EMBA,nuclear,612.6206,SI,CVP_TERMICA,,
ATUCNUCL,ATUCHA,ATUC,nuclear,334.89,SI,CVP_TERMICA,,
PAGUHI04,PIEDRA D AGUILA,PAGUHI,hydro,360,PENDIENTE,,,
PAGUHI01,PIEDRA D AGUILA,PAGUHI,hydro,360,PENDIENTE,,,
PAGUHI02,PIEDRA D AGUILA,PAGUHI,hydro,360,PENDIENTE,,,
PAGUHI03,PIEDRA D AGUILA,PAGUHI,hydro,360,PENDIENTE,,,
SNICTV15,SAN NICOLAS,SNIC,steam,263.6,SI,CVP_TERMICA,,
COSTTV10,COSTANERA,COST,ccgt,290.4,SI,CVP_TERMICA_PROMEDIO,,
GBELTV01,GRAL BELGRANO,GBEL,ccgt,260.228,SI,CVP_TERMICA,,
VOBLTV01,CT VUELTA OBLIG,VOBL,ccgt,273.7,SI,CVP_TERMICA,,
AESPTV01,AES-PARANA,AESP,ccgt,294.81,SI,CVP_TERMICA,,
TIMBTV01,CT TIMBUES(GSMA,TIMB,ccgt,262.35,SI,CVP_TERMICA,,
BBLATV29,BAHIA BLANCA,BBLA,steam,296.67,SI,CVP_TERMICA,,
COSTTV07,COSTANERA,COST,steam,222.5,SI,CVP_TERMICA,,
BBLATV30,BAHIA BLANCA,BBLA,steam,296.67,SI,CVP_TERMICA,,
EBARTV01,ENSE. BARRAGAN,EBAR,steam,276.73,SI,CVP_TERMICA,,
BROWTG02,GUILLERMO BROWN,BROW,ocgt,287.92,SI,CVP_TERMICA,,
TER6TG11,COG Terminal 6,TER6,ocgt,285.36,SI,CVP_TERMICA,,
EBARTG02,ENSE. BARRAGAN,EBAR,ocgt,269.2874,SI,CVP_TERMICA,,
EBARTG01,ENSE. BARRAGAN,EBAR,ocgt,271.5,SI,CVP_TERMICA,,
ACAJTV07,AGUA DEL CAJON,CAPE,ccgt,256.7,NO,,ACAJCC06,
BLOPTG01,BRIGAD. LOPEZ,BLOP,ccgt,279.91,SI,CVP_TERMICA,,
AVALTV12,ALTO VALLE,AVAL,ccgt,12.3504,NO,,AVALTG21,
AVALTV12,ALTO VALLE,AVAL,ccgt,12.3504,NO,,AVALTG21,
BRCHTG01,C.T BRACHO,BRCH,ocgt,270.415,SI,CVP_TERMICA,,
AESPTG02,AES-PARANA,AESP,ccgt,253.2,SI,CVP_TERMICA,,
GBELTG02,GRAL BELGRANO,GBEL,ccgt,266.6,SI,CVP_TERMICA,,
AESPTG01,AES-PARANA,AESP,ccgt,253.2,SI,CVP_TERMICA,,
ALICHI01,ALICURA,ALICHI,hydro,262.5,PENDIENTE,,,
ALICHI02,ALICURA,ALICHI,hydro,262.5,PENDIENTE,,,
ALICHI03,ALICURA,ALICHI,hydro,262.5,PENDIENTE,,,
ALICHI04,ALICURA,ALICHI,hydro,262.5,PENDIENTE,,,
COSTTG08,COSTANERA,COST,ccgt,255.1,SI,CVP_TERMICA,,
COSTTG09,COSTANERA,COST,ccgt,258.5,SI,CVP_TERMICA,,
VOBLTG02,CT VUELTA OBLIG,VOBL,ccgt,264.8,SI,CVP_TERMICA,,
TIMBTG01,CT TIMBUES(GSMA,TIMB,ccgt,272.2,SI,CVP_TERMICA,,
TIMBTG02,CT TIMBUES(GSMA,TIMB,ccgt,267.3,SI,CVP_TERMICA,,
VOBLTG01,CT VUELTA OBLIG,VOBL,ccgt,262,SI,CVP_TERMICA,,
GBELTG01,GRAL BELGRANO,GBEL,ccgt,265,SI,CVP_TERMICA,,
CEPUTG12,NUEVO PUERTO,NPUE,ccgt,242.1,SI,CVP_TERMICA,,
CEPUTG11,NUEVO PUERTO,NPUE,ccgt,252.1108,SI,CVP_TERMICA,,
DSUDTG09,DOCK SUD,DSUD,ccgt,274.92,SI,CVP_TERMICA,,
DSUDTG10,DOCK SUD,DSUD,ccgt,275.058,SI,CVP_TERMICA,,
PNUETV09,PUERTO NUEVO,PNUE,steam,237.2,SI,CVP_TERMICA,,
