gen_key,bus_name_origen,nombre_geosadi,bus_conexion500kv,bus_conexion500kv_name,carrier,lat,lon,pg_mw,pt_mw,stat,match_type,n_saltos,camino,control
406-1,CRIVTG26,CDRO RIVADAVIA,461.0,SCN_500_132kV,ocgt,-45.81514536,-67.44448553,25.5,9999.0,0,bfs,4,CRIVTG26 -> C.RIV.A -> C.RIV.A1 -> PT1-132M -> SCN_132,PV
406-2,CRIVTG26,CDRO RIVADAVIA,461.0,SCN_500_132kV,ocgt,-45.81514536,-67.44448553,25.0,9999.0,0,bfs,4,CRIVTG26 -> C.RIV.A -> C.RIV.A1 -> PT1-132M -> SCN_132,PV
409-1,CRIVTG21,CDRO RIVADAVIA,461.0,SCN_500_132kV,ocgt,-45.81514536,-67.44448553,11.5,9999.0,0,bfs,4,CRIVTG21 -> C.RIV.A -> C.RIV.A1 -> PT1-132M -> SCN_132,PV
2620-1,ATU2NUCL,ATUCHA II,2620.0,ATUCHA 2_21kV,nuclear,-33.96725778,-59.20447619,728.909,745.0,1,directo,0,,PV
6600-1,EMBANUCL,EMBALSE,6600.0,EMBALSE_22kV,nuclear,-32.23170202,-64.44339765,650.0,672.0,1,directo,0,,PV
2610-1,ATUCNUCL,ATUCHA,3120.0,RODRGUEZ_220kV_1,nuclear,-33.96704909,-59.20707389,350.0,362.0,1,bfs,3,ATUCNUCL -> ATUCHA 1 -> V. LIA -> RODRIGU1,PV
8917-1,SMARFV01,CH SAN MARTIN,8292.0,RECREO_132kV,solar,-33.04501378,-68.92181601,281.6,352.0,1,bfs,5,SMARFV01 -> PSSMAR33_02 -> PSSMAR33_01 -> PSS.MAR -> EM S.MARTIN -> RECREO,PQ
1654-4,PAGUHI04,PIEDRA D AGUILA,1654.0,P.AGUILA_15.7kV_4,hydro,-40.18983805,-69.99179417,320.0,350.0,0,directo,0,,PV
1651-1,PAGUHI01,PIEDRA D AGUILA,1651.0,P.AGUILA_15.7kV_1,hydro,-40.18983805,-69.99179417,320.0,350.0,1,directo,0,,PV
1652-2,PAGUHI02,PIEDRA D AGUILA,1652.0,P.AGUILA_15.7kV_2,hydro,-40.18983805,-69.99179417,320.0,350.0,1,directo,0,,PV
1653-3,PAGUHI03,PIEDRA D AGUILA,1653.0,P.AGUILA_15.7kV_3,hydro,-40.18983805,-69.99179417,320.0,350.0,1,directo,0,,PV
2627-3,BROWTV01,GUILLERMO BROWN,2627.0,GUIBROWN_20kV_3,ocgt,-38.68547162,-62.41424292,150.0,350.0,1,directo,0,,PV
2675-5,SNICTV15,SAN NICOLAS,2105.0,RAMALLO_220kV,steam,-33.3562093,-60.17302726,250.0,350.0,0,bfs,2,SNICTV15 -> SNICOLAS -> RAMALLOA,PV
3611-1,COSTTV10,COSTANERA,3122.0,RODRGUEZ_220kV_2,ccgt,-34.62485385,-58.33970617,150.0,327.0,1,bfs,8,COSTTV10 -> COSTANER1 -> MALAVER2 -> MALAVER2 -> ROTOND2 -> HURLING2 -> MORON -> MORON 1 -> RODRIGU2,PV
2697-3,GBELTV01,GRAL BELGRANO,2697.0,BELGRANO1_20kV_3,ccgt,-34.18465152,-59.00618087,300.0,319.303,1,directo,0,,PV
4693-3,VOBLTV01,CT VUELTA OBLIG,4693.0,R.COROND_15.8kV_3,ccgt,-32.58017875,-60.7902966,150.0,319.303,1,directo,0,,PV
2694-3,AESPTV01,AES-PARANA,2694.0,AES PARA_20kV,ccgt,-33.3548832,-60.17184631,206.0,319.303,1,directo,0,,PV
4697-3,TIMBTV01,CT TIMBUES(GSMA,4697.0,R.COROND_20kV_3,ccgt,-32.57768852,-60.7908046,160.0,319.303,1,directo,0,,PV
2629-1,BBLATV29,BAHIA BLANCA,2629.0,PBUENA1_20kV,steam,-38.78758101,-62.25409879,240.0,310.0,0,directo,0,,PV
3607-7,COSTTV07,COSTANERA,3100.0,ABASTO_220kV,steam,-34.62485385,-58.33970617,140.0,310.0,0,bfs,4,COSTTV07 -> COSTANER2 -> HUDSON -> BOSQUES -> ABASTO,PV
2630-2,BBLATV30,BAHIA BLANCA,2630.0,PBUENA2_20kV,steam,-38.78758101,-62.25409879,280.0,310.0,1,directo,0,,PV
3619-1,EBARTV01,ENSE. BARRAGAN,3100.0,ABASTO_220kV,steam,-34.85880926,-57.95227994,250.0,304.0,1,bfs,5,EBARTV01 -> ENS.BARRAG_1 -> P1 BAR-HUD -> HUDSON -> BOSQUES -> ABASTO,PV
2626-2,BROWTG02,GUILLERMO BROWN,2626.0,GUIBROWN_20kV_2,ocgt,-38.68547162,-62.41424292,275.0,300.0,1,directo,0,,PV
4624-1,TER6TG11,COG Terminal 6,4624.0,TERMINAL_500_20kV,ocgt,-32.6647019,-60.75010668,274.0,294.0,1,directo,0,,PV
3618-2,EBARTG02,ENSE. BARRAGAN,3100.0,ABASTO_220kV,ocgt,-34.85880926,-57.95227994,250.0,292.0,1,bfs,5,EBARTG02 -> ENS.BARRAG_1 -> P1 BAR-HUD -> HUDSON -> BOSQUES -> ABASTO,PV
3617-1,EBARTG01,ENSE. BARRAGAN,3100.0,ABASTO_220kV,ocgt,-34.85880926,-57.95227994,250.0,292.0,1,bfs,5,EBARTG01 -> ENS.BARRAG_1 -> P1 BAR-HUD -> HUDSON -> BOSQUES -> ABASTO,PV
3644-1,DSUDTV11,DOCK SUD,3110.0,EZEIZA_220kV_1,ccgt,-34.65318462,-58.34174439,210.0,288.4,1,manual,-1,,PV
4698-1,BLOPTG01,BRIGAD. LOPEZ,4313.0,S.TOME_132kV_2,ccgt,-31.71020189,-60.78028146,220.0,285.6,1,bfs,4,BLOPTG01 -> BLOPEZ -> PI 2 BLO -> PI4 STO -> S.TOME 2,PV
3669-1,CEPUTV10,NUEVO PUERTO,3122.0,RODRGUEZ_220kV_2,ccgt,-34.57170662,-58.38211451,260.0,282.0,1,manual,-1,,PV
1606-1,ACAJTV07,AGUA DEL CAJON,1203.0,A.CAJON_132kV_2,ccgt,-38.93631045,-68.35730715,240.0,280.0,1,bfs,1,ACAJTV07 -> ACAJON 3,PV
8637-1,BRCHTG01,C.T BRACHO,8637.0,BRACHO_15.8kV,ocgt,-26.99696942,-65.17048057,230.0,268.0,1,directo,0,,PV
2693-2,AESPTG02,AES-PARANA,2693.0,AES PARA_15kV_2,ccgt,-33.3548832,-60.17184631,240.0,262.982,1,directo,0,,PV
2696-2,GBELTG02,GRAL BELGRANO,2696.0,BELGRANO1_20kV_2,ccgt,-34.18465152,-59.00618087,250.0,262.98,1,directo,0,,PV
2692-1,AESPTG01,AES-PARANA,2692.0,AES PARA_15kV_1,ccgt,-33.3548832,-60.17184631,230.0,262.98,1,directo,0,,PV
1611-1,ALICHI01,ALICURA,1611.0,ALICURA_13.8kV_1,hydro,-40.58419649,-70.74742631,220.0,262.5,1,directo,0,,PV
1612-2,ALICHI02,ALICURA,1612.0,ALICURA_13.8kV_2,hydro,-40.58419649,-70.74742631,220.0,262.5,1,directo,0,,PV
1613-3,ALICHI03,ALICURA,1613.0,ALICURA_13.8kV_3,hydro,-40.58419649,-70.74742631,220.0,262.5,0,directo,0,,PV
1614-4,ALICHI04,ALICURA,1614.0,ALICURA_13.8kV_4,hydro,-40.58419649,-70.74742631,200.0,262.5,0,directo,0,,PV
3609-1,COSTTG08,COSTANERA,3110.0,EZEIZA_220kV_1,ccgt,-34.62485385,-58.33970617,231.0,262.0,1,manual,-1,,PV
3610-2,COSTTG09,COSTANERA,3110.0,EZEIZA_220kV_1,ccgt,-34.62485385,-58.33970617,240.0,262.0,1,manual,-1,,PV
4692-2,VOBLTG02,CT VUELTA OBLIG,4692.0,R.COROND_15.8kV_2,ccgt,-32.58017875,-60.7902966,220.0,260.0,0,directo,0,,PV
4695-1,TIMBTG01,CT TIMBUES(GSMA,4695.0,R.COROND_20kV_1,ccgt,-32.57768852,-60.7908046,240.0,260.0,0,directo,0,,PV
4696-2,TIMBTG02,CT TIMBUES(GSMA,4696.0,R.COROND_20kV_2,ccgt,-32.57768852,-60.7908046,237.0,260.0,1,directo,0,,PV
4691-1,VOBLTG01,CT VUELTA OBLIG,4691.0,R.COROND_15.8kV_1,ccgt,-32.58017875,-60.7902966,240.0,260.0,1,directo,0,,PV
2695-1,GBELTG01,GRAL BELGRANO,2695.0,BELGRANO1_20kV_1,ccgt,-34.18465152,-59.00618087,250.0,260.0,1,directo,0,,PV
3668-2,CEPUTG12,NUEVO PUERTO,3122.0,RODRGUEZ_220kV_2,ccgt,-34.57170662,-58.38211451,240.0,258.0,1,bfs,9,CEPUTG12 -> CPUERTO2 -> P.N.ROJO -> AUSTRIA -> AGRON.RO -> CIUDADEL -> RMEJ.MAR -> MORON -> MORON 1 -> RODRIGU2,PV
3667-1,CEPUTG11,NUEVO PUERTO,3122.0,RODRGUEZ_220kV_2,ccgt,-34.57170662,-58.38211451,230.0,258.0,1,manual,-1,,PV
3646-2,DSUDTG09,DOCK SUD,3110.0,EZEIZA_220kV_1,ccgt,-34.65318462,-58.34174439,200.0,255.2,1,manual,-1,,PV
3645-1,DSUDTG10,DOCK SUD,3110.0,EZEIZA_220kV_1,ccgt,-34.65318462,-58.34174439,220.0,255.2,1,manual,-1,,PV
3679-9,PNUETV09,PUERTO NUEVO,3122.0,RODRGUEZ_220kV_2,steam,-34.57570224,-58.37604732,210.0,250.0,1,manual,-1,,PV
2625-1,BROWTG01,GUILLERMO BROWN,2625.0,GUIBROWN_20kV_1,ocgt,-38.68547162,-62.41424292,230.0,250.0,1,directo,0,,PV
