central_prefix,carrier,area,n_gen,pt_total_mw,bus_destino_manual,nombre_geosadi,nemo_geosadi,,,
DSUDTG,ocgt,G.B.A.,4,578,EZEIZA_220kV_1,DOCK SUD,DSUD,,,
COSTTG,ccgt,G.B.A.,2,524,EZEIZA_220kV_1,COSTANERA,COST,,,
HUIN.C,ccgt,COMAHUE,2,486.5,,,,,,
PNUETV,steam,G.B.A.,2,444,RODRGUEZ_220kV_1,PUERTO NUEVO,PNUE,,,
NPUETV,steam,G.B.A.,3,420,RODRGUEZ_220kV_1,NUEVO PUERTO,NPUE,,,
COSTTV,steam,G.B.A.,3,351,EZEIZA_220kV_1,COSTANERA,COST,,,
TUCUTG,ccgt,N.O.A.,2,288.4,BRACHO_132kV_1,C.T. TUCUMAN,TUCU,,,
DSUDTV,ccgt,G.B.A.,1,288.4,EZEIZA_220kV_1,DOCK SUD,DSUD,,,
CEPUTV,ccgt,G.B.A.,1,282,RODRGUEZ_220kV_1,NUEVO PUERTO,NPUE,,,
CEPUTG,ccgt,G.B.A.,1,258,RODRGUEZ_220kV_1,NUEVO PUERTO,NPUE,,,
SNICTV,steam,PBA,3,225,RAMALLO_220kV,SAN NICOLAS,SNIC,,,
PPNOTG,ocgt,N.O.A.,2,224,BRACHO_34.5kV_3,PLUSPETROL NORT,PPNO,,,
TUCUTV,ccgt,N.O.A.,1,158.6,BRACHO_132kV_1,C.T. TUCUMAN,TUCU,,,
CAU1FV,solar,N.O.A.,1,117,COBOS_345kV,PS. CAUCHARI 1,CAU1FV,,,
CAU3FV,solar,N.O.A.,1,117,COBOS_345kV,PS. CAUCHARI 3,CAU3FV,,,
CAU2FV,solar,N.O.A.,1,117,COBOS_345kV,PS. CAUCHARI 2,CAU2FV,,,
SMTUTG,ccgt,N.O.A.,1,116,BRACHO_15.7kV_1,S.M. DE TUCUMAN,SMTU,,,
ASECTG,ocgt,LITORAL,2,108,R.OESTE_132kV_1,C.T. ARROYO SECO,ASEC,,,
MANAEO,wind,PATAGONI,2,103.5,SCN_500_132kV,MANANTIALES BEHR (YPF),MANAEO,,,
LOM6EO,wind,PATAGONI,2,100.8,NPMADRYN_132kV,P.E. L. BLANCA 6,LOM6EO,,,
