central_prefix,carrier,area,n_gen,pg_total_mw,pt_total_mw,gen_keys,bus_ids,bus_conexion500kv_manual,nombre_geosadi
DSUDTG,ocgt,G.B.A.,4,483.0,577.5999999999999,3637-7|3638-8|3645-1|3646-2,3637|3638|3645|3646,,
COSTTG,ccgt,G.B.A.,2,471.0,524.0,3609-1|3610-2,3609|3610,,
HUIN.C,ccgt,COMAHUE,2,0.0,486.5,1693-G|1693-V,1693|1693,,
PNUETV,steam,G.B.A.,2,390.0,444.0,3678-8|3679-9,3678|3679,,
NPUETV,steam,G.B.A.,3,298.0,420.0,3664-4|3665-5|3666-6,3664|3665|3666,,
COSTTV,steam,G.B.A.,3,100.0,351.0,3601-1|3602-2|3603-3,3601|3602|3603,,
TUCUTG,ccgt,N.O.A.,2,230.0,288.4,8611-1|8612-2,8611|8612,,
DSUDTV,ccgt,G.B.A.,1,210.0,288.4,3644-1,3644,,
CEPUTV,ccgt,G.B.A.,1,260.0,282.0,3669-1,3669,,
CEPUTG,ccgt,G.B.A.,1,230.0,258.0,3667-1,3667,,
SNICTV,steam,PBA,3,150.0,225.0,2671-1|2672-2|2673-3,2671|2672|2673,,
PPNOTG,ocgt,N.O.A.,2,220.0,224.0,8602-1|8603-2,8602|8603,,
TUCUTV,ccgt,N.O.A.,1,120.0,158.6,8613-3,8613,,
CAU1FV,solar,N.O.A.,1,95.0,116.97,8638-1,8638,,
CAU3FV,solar,N.O.A.,1,95.0,116.97,8640-3,8640,,
CAU2FV,solar,N.O.A.,1,95.0,116.97,8639-2,8639,,
SMTUTG,ccgt,N.O.A.,1,110.0,116.0,8600-1,8600,,
ASECTG,ocgt,LITORAL,2,86.4,108.0,4637-1|4638-1,4637|4638,,
MANAEO,wind,PATAGONI,2,51.864,103.5,691-1|692-2,691|692,,
LOM6EO,wind,PATAGONI,2,51.864,100.8,605-1|688-2,605|688,,
