gen_key,bus_id_origen,bus_name_origen,nombre_geosadi,falta,carrier,pg_mw,pt_mw,stat,lat,lon,geo_match,match_type,bus_conexion500kv,bus_conexion500kv_name,n_saltos,camino,COMENTARIOS
202-2,202,AL-FIAT2,ALUAR,ok,ocgt,19.999,9999,1,-42.73785022,-65.05389714,manual,sin_conexion,,,-1,,parte de la red industrial ALUAR no se carga en pypsa
203-3,203,AL-FIAT3,ALUAR,ok,ocgt,19.999,9999,1,-42.73785022,-65.05389714,manual,sin_conexion,,,-1,,parte de la red industrial ALUAR no se carga en pypsa
7645-G,7645,LDCUTG25,LUJAN DE CUYO,ok,ccgt,170,197,1,-33.05568314,-68.98082788,manual,bfs,7216,GRAN MZA_132kV,3,LDCUTG25 -> LUJ.CUYO -> CRUZPIED -> GRAN MZA,
191-10,191,ALTG10CC,ALUAR,ok,ccgt,155,168,1,-42.73785022,-65.05389714,manual,sin_conexion,,,-1,,parte de la red industrial ALUAR no se carga en pypsa
190-9,190,ALTG09CC,ALUAR,ok,ccgt,155,165,1,-42.73785022,-65.05389714,manual,sin_conexion,,,-1,,parte de la red industrial ALUAR no se carga en pypsa
3644-1,3644,DSUDTV11,DOCK SUD,ok,ccgt,210,288.4,1,-34.65318462,-58.34174439,exacto,manual,3110,EZEIZA_220kV_1,-1,,
3669-1,3669,CEPUTV10,NUEVO PUERTO,ok,ccgt,260,282,1,-34.57170662,-58.38211451,manual,manual,3122,RODRGUEZ_220kV_2,-1,,
3609-1,3609,COSTTG08,COSTANERA,ok,ccgt,231,262,1,-34.62485385,-58.33970617,exacto,manual,3110,EZEIZA_220kV_1,-1,,
3610-2,3610,COSTTG09,COSTANERA,ok,ccgt,240,262,1,-34.62485385,-58.33970617,exacto,manual,3110,EZEIZA_220kV_1,-1,,
3667-1,3667,CEPUTG11,NUEVO PUERTO,ok,ccgt,230,258,1,-34.57170662,-58.38211451,manual,manual,3122,RODRGUEZ_220kV_2,-1,,
3668-2,3668,CEPUTG12,NUEVO PUERTO,ok,ccgt,240,258,1,-34.57170662,-58.38211451,manual,bfs,3122,RODRGUEZ_220kV_2,9,CEPUTG12 -> CPUERTO2 -> P.N.ROJO -> AUSTRIA -> AGRON.RO -> CIUDADEL -> RMEJ.MAR -> MORON -> MORON 1 -> RODRIGU2,
3646-2,3646,DSUDTG09,DOCK SUD,ok,ccgt,200,255.2,1,-34.65318462,-58.34174439,exacto,manual,3110,EZEIZA_220kV_1,-1,,
3645-1,3645,DSUDTG10,DOCK SUD,ok,ccgt,220,255.2,1,-34.65318462,-58.34174439,exacto,manual,3110,EZEIZA_220kV_1,-1,,
3666-6,3666,NPUETV06,NUEVO PUERTO,ok,steam,220,250,1,-34.57170662,-58.38211451,exacto,manual,3122,RODRGUEZ_220kV_2,-1,,
3679-9,3679,PNUETV09,PUERTO NUEVO,ok,steam,210,250,1,-34.57570224,-58.37604732,exacto,manual,3122,RODRGUEZ_220kV_2,-1,,
192-11,192,ALTV11CC,ALUAR,ok,ccgt,130,140,1,-42.73785022,-65.05389714,manual,sin_conexion,,,-1,,parte de la red industrial ALUAR no se carga en pypsa
3678-8,3678,PNUETV08,PUERTO NUEVO,ok,steam,180,194,1,-34.57570224,-58.37604732,exacto,manual,3122,RODRGUEZ_220kV_2,-1,,
4633-1,4633,CELIFV01,,geo,solar,82.4,103,0,,,sin_match,bfs,4222,C.ELIA_132kV,4,CELIFV01 -> CELIFV01_331 -> CELIFV01_332 -> CELIFV_132 -> C.ELIA,
4634-2,4634,CELIFV02,,geo,solar,82.04,102.55,0,,,sin_match,bfs,4222,C.ELIA_132kV,4,CELIFV02 -> CELIFV02_331 -> CELIFV02_332 -> CELIFV_132 -> C.ELIA,
8613-3,8613,TUCUTV01,C.T. TUCUMAN,ok,ccgt,120,158.6,1,-26.99733869,-65.16808023,exacto,manual,8214,BRACHO_132kV_1,-1,,
8612-2,8612,TUCUTG02,C.T. TUCUMAN,ok,ccgt,100,144.2,1,-26.99733869,-65.16808023,exacto,manual,8214,BRACHO_132kV_1,-1,,
8611-1,8611,TUCUTG01,C.T. TUCUMAN,ok,ccgt,130,144.2,1,-26.99733869,-65.16808023,exacto,manual,8214,BRACHO_132kV_1,-1,,
7635-1,7635,SRAFFV02,P.S. SAN RAFAEL,ok,solar,80,100,1,-34.54649836,-69.03876907,manual,bfs,7104,GRAN MZA_220kV,5,SRAFFV02 -> PSSR33_02 -> PSSR33 -> A.TORO -> REYUNOS -> GRAN MZA,
3601-1,3601,COSTTV01,COSTANERA,ok,steam,40,123,1,-34.62485385,-58.33970617,exacto,manual,3110,EZEIZA_220kV_1,-1,,
8640-3,8640,CAU3FV01,P.S. CAUCHARI 3,ok,solar,95,116.97,1,-24.08620823,-66.71964002,exacto,manual,8120,COBOS_345kV,-1,,
8639-2,8639,CAU2FV01,P.S. CAUCHARI 2,ok,solar,95,116.97,1,-24.09710935,-66.71327361,exacto,manual,8120,COBOS_345kV,-1,,
8638-1,8638,CAU1FV01,P.S. CAUCHARI 1,ok,solar,95,116.97,1,-24.10569637,-66.70784346,exacto,manual,8120,COBOS_345kV,-1,,
3602-2,3602,COSTTV02,COSTANERA,ok,steam,60,116,1,-34.62485385,-58.33970617,exacto,manual,3110,EZEIZA_220kV_1,-1,,
8600-1,8600,SMTUTG01,S.M. DE TUCUMAN,ok,ccgt,110,116,1,-26.9934191,-65.16842295,exacto,manual,8614,BRACHO_15.7kV_1,-1,,
3603-3,3603,COSTTV03,COSTANERA,ok,steam,112,112,0,-34.62485385,-58.33970617,exacto,manual,3110,EZEIZA_220kV_1,-1,,
8603-2,8603,PPNOTG02,PLUSPETROL NORT,ok,ocgt,110,112,1,-26.99548533,-65.16142254,exacto,manual,8525,BRACHO_34.5kV_3,-1,,
8602-1,8602,PPNOTG01,PLUSPETROL NORT,ok,ocgt,110,112,1,-26.99548533,-65.16142254,exacto,manual,8525,BRACHO_34.5kV_3,-1,,
3665-5,3665,NPUETV05,NUEVO PUERTO,ok,steam,78,110,1,-34.57170662,-58.38211451,exacto,manual,3122,RODRGUEZ_220kV_2,-1,,
8905-4,8905,CAU4FV,P.S. CAUCHARI 4,ok,solar,80,100,0,-24.08620823,-66.71964002,manual,bfs,8120,COBOS_345kV,3,CAU4FV -> CAU4_33 -> ALTIPLANO -> COBOS,
7607-1,7607,QUEMFV01,P.S. EL QUEMADO,ok,solar,80,100,1,-32.4547553,-68.6368528,manual,bfs,7104,GRAN MZA_220kV,5,QUEMFV01 -> EQEUM33_03 -> EQEUM33_01 -> ELQUEMADO -> CRUZPIED -> GRAN MZA,
