gen_key,bus_id_origen,bus_name_origen,carrier,pg_mw,pt_mw,stat,match_type,bus_conexion500kv,bus_conexion500kv_name,n_saltos,camino
102-1,102,FUTAHI01,hydro,110.831,133.0,1,bfs,224,NPMADRYN_330kV,3,FUTAHI01 -> FUTAL330 -> PMADR330 -> NPMAD330
104-1,104,FUTAHI02,hydro,110.831,133.0,1,bfs,224,NPMADRYN_330kV,3,FUTAHI02 -> FUTAL330 -> PMADR330 -> NPMAD330
106-1,106,FUTAHI03,hydro,110.831,133.0,1,bfs,224,NPMADRYN_330kV,3,FUTAHI03 -> FUTAL330 -> PMADR330 -> NPMAD330
108-1,108,FUTAHI04,hydro,110.831,133.0,1,bfs,224,NPMADRYN_330kV,3,FUTAHI04 -> FUTAL330 -> PMADR330 -> NPMAD330
190-9,190,ALTG09CC,ccgt,155.0,165.0,1,bfs,224,NPMADRYN_330kV,4,ALTG09CC -> AL-CEB -> APPA330C -> PMADR330 -> NPMAD330
191-10,191,ALTG10CC,ccgt,155.0,168.0,1,bfs,224,NPMADRYN_330kV,4,ALTG10CC -> AL-CEB -> APPA330C -> PMADR330 -> NPMAD330
192-11,192,ALTV11CC,ccgt,130.0,140.0,1,bfs,224,NPMADRYN_330kV,4,ALTV11CC -> AL-CEB -> APPA330C -> PMADR330 -> NPMAD330
201-1,201,AL-FIAT1,ocgt,18.0,20.0,1,sin_conexion,,,-1,
202-2,202,AL-FIAT2,ocgt,19.999,9999.0,1,sin_conexion,,,-1,
203-3,203,AL-FIAT3,ocgt,19.999,9999.0,1,sin_conexion,,,-1,
204-4,204,AL-FIAT4,ocgt,20.0,20.0,1,sin_conexion,,,-1,
205-5,205,ALUATG05,ocgt,38.0,38.2,1,sin_conexion,,,-1,
206-6,206,ALUATG06,ocgt,32.0,38.2,1,sin_conexion,,,-1,
207-7,207,ALUATG07,ccgt,38.0,41.0,0,sin_conexion,,,-1,
208-8,208,ALUATG08,ccgt,38.0,49.0,0,sin_conexion,,,-1,
