gen_key,bus_id_origen,bus_name_origen,nombre_geosadi,carrier,pg_mw,pt_mw,stat,lat,lon,geo_match,match_type,bus_conexion500kv,bus_conexion500kv_name,n_saltos,camino
190-9,190,ALTG09CC,,ccgt,155.0,165.0,1,,,sin_match,bfs,224.0,NPMADRYN_330kV,4,ALTG09CC -> AL-CEB -> APPA330C -> PMADR330 -> NPMAD330
191-10,191,ALTG10CC,,ccgt,155.0,168.0,1,,,sin_match,bfs,224.0,NPMADRYN_330kV,4,ALTG10CC -> AL-CEB -> APPA330C -> PMADR330 -> NPMAD330
192-11,192,ALTV11CC,,ccgt,130.0,140.0,1,,,sin_match,bfs,224.0,NPMADRYN_330kV,4,ALTV11CC -> AL-CEB -> APPA330C -> PMADR330 -> NPMAD330
201-1,201,AL-FIAT1,,ocgt,18.0,20.0,1,,,sin_match,sin_conexion,,,-1,
202-2,202,AL-FIAT2,,ocgt,19.999,9999.0,1,,,sin_match,sin_conexion,,,-1,
203-3,203,AL-FIAT3,,ocgt,19.999,9999.0,1,,,sin_match,sin_conexion,,,-1,
204-4,204,AL-FIAT4,,ocgt,20.0,20.0,1,,,sin_match,sin_conexion,,,-1,
205-5,205,ALUATG05,,ocgt,38.0,38.2,1,,,a_revisar,sin_conexion,,,-1,
206-6,206,ALUATG06,,ocgt,32.0,38.2,1,,,a_revisar,sin_conexion,,,-1,
207-7,207,ALUATG07,,ccgt,38.0,41.0,0,,,a_revisar,sin_conexion,,,-1,
208-8,208,ALUATG08,,ccgt,38.0,49.0,0,,,a_revisar,sin_conexion,,,-1,
209-9,209,ALUATV01,,ccgt,32.0,50.35,0,,,a_revisar,sin_conexion,,,-1,
219-21,219,AEG,,ocgt,18.0,21.0,0,,,sin_match,sin_conexion,,,-1,
219-22,219,AEG,,ocgt,18.0,21.0,0,,,sin_match,sin_conexion,,,-1,
304-1,304,SGRA13.2,,ocgt,0.0,9999.0,0,,,sin_match,bfs,224.0,NPMADRYN_330kV,4,SGRA13.2 -> SGRAN132 -> PMADRYN1 -> PMADR330 -> NPMAD330
304-2,304,SGRA13.2,,ocgt,0.0,9999.0,0,,,sin_match,bfs,224.0,NPMADRYN_330kV,4,SGRA13.2 -> SGRAN132 -> PMADRYN1 -> PMADR330 -> NPMAD330
536-1,536,MBE2DI01,,diesel,8.564,11.76,1,,,sin_match,sin_conexion,,,-1,
