gen_key,bus_id_origen,bus_name_origen,nombre_geosadi,carrier,pg_mw,pt_mw,stat,lat,lon,geo_match,match_type,bus_conexion500kv,bus_conexion500kv_name,n_saltos,camino
102-1,102,FUTAHI01,FUTALEUFU,hydro,110.831,133.0,1,-43.1291857,-71.62994869,exacto,bfs,224.0,NPMADRYN_330kV,3,FUTAHI01 -> FUTAL330 -> PMADR330 -> NPMAD330
104-1,104,FUTAHI02,FUTALEUFU,hydro,110.831,133.0,1,-43.1291857,-71.62994869,exacto,bfs,224.0,NPMADRYN_330kV,3,FUTAHI02 -> FUTAL330 -> PMADR330 -> NPMAD330
106-1,106,FUTAHI03,FUTALEUFU,hydro,110.831,133.0,1,-43.1291857,-71.62994869,exacto,bfs,224.0,NPMADRYN_330kV,3,FUTAHI03 -> FUTAL330 -> PMADR330 -> NPMAD330
108-1,108,FUTAHI04,FUTALEUFU,hydro,110.831,133.0,1,-43.1291857,-71.62994869,exacto,bfs,224.0,NPMADRYN_330kV,3,FUTAHI04 -> FUTAL330 -> PMADR330 -> NPMAD330
251-1,251,AMEGHI01,F. AMEGHINO,hydro,10.076,23.4,1,-43.69919138,-66.48176108,exacto,bfs,224.0,NPMADRYN_330kV,6,AMEGHI01 -> AMEGH132 -> TRELW132 -> DGPAL132 -> PMADRYN1 -> PMADR330 -> NPMAD330
252-2,252,AMEGHI02,F. AMEGHINO,hydro,20.0,23.4,1,-43.69919138,-66.48176108,exacto,bfs,224.0,NPMADRYN_330kV,6,AMEGHI02 -> AMEGH132 -> TRELW132 -> DGPAL132 -> PMADRYN1 -> PMADR330 -> NPMAD330
406-1,406,CRIVTG26,CDRO RIVADAVIA,ocgt,25.5,9999.0,0,-45.81514536,-67.44448553,exacto,bfs,461.0,SCN_500_132kV,4,CRIVTG26 -> C.RIV.A -> C.RIV.A1 -> PT1-132M -> SCN_132
406-2,406,CRIVTG26,CDRO RIVADAVIA,ocgt,25.0,9999.0,0,-45.81514536,-67.44448553,exacto,bfs,461.0,SCN_500_132kV,4,CRIVTG26 -> C.RIV.A -> C.RIV.A1 -> PT1-132M -> SCN_132
409-1,409,CRIVTG21,CDRO RIVADAVIA,ocgt,11.5,9999.0,0,-45.81514536,-67.44448553,exacto,bfs,461.0,SCN_500_132kV,4,CRIVTG21 -> C.RIV.A -> C.RIV.A1 -> PT1-132M -> SCN_132
422-1,422,CRIVTG23,CDRO RIVADAVIA,ocgt,16.0,20.5,0,-45.81514536,-67.44448553,exacto,bfs,461.0,SCN_500_132kV,3,CRIVTG23 -> C.RIV.A1 -> PT1-132M -> SCN_132
437-1,437,CRIVTG78,CDRO RIVADAVIA,ccgt,20.0,25.0,0,-45.81514536,-67.44448553,exacto,bfs,461.0,SCN_500_132kV,4,CRIVTG78 -> C.RIV.A -> C.RIV.A1 -> PT1-132M -> SCN_132
437-2,437,CRIVTG78,CDRO RIVADAVIA,ccgt,20.0,25.0,0,-45.81514536,-67.44448553,exacto,bfs,461.0,SCN_500_132kV,4,CRIVTG78 -> C.RIV.A -> C.RIV.A1 -> PT1-132M -> SCN_132
438-2,438,CRIVTV25,CDRO RIVADAVIA,ccgt,20.0,22.6,0,-45.81514536,-67.44448553,exacto,bfs,461.0,SCN_500_132kV,4,CRIVTV25 -> C.RIV.A -> C.RIV.A1 -> PT1-132M -> SCN_132
453-1,453,DIADEO01,DIADEMA EOLICO,wind,3.241,6.3,1,-45.74655472,-67.69410423,exacto,bfs,461.0,SCN_500_132kV,6,DIADEO01 -> DIAD33_01 -> DIADEMA -> CTPAT132 -> C.RIV.A1 -> PT1-132M -> SCN_132
464-1,464,PTR1TG24,PICO TRUNCADO 1,ocgt,15.0,15.0,0,-46.78450301,-67.95030779,exacto,bfs,461.0,SCN_500_132kV,2,PTR1TG24 -> PT1-132M -> SCN_132
466-1,466,PTR1TG25,PICO TRUNCADO 1,ocgt,15.0,15.0,0,-46.78450301,-67.95030779,exacto,bfs,461.0,SCN_500_132kV,2,PTR1TG25 -> PT1-132M -> SCN_132
468-1,468,PTR1TG23,PICO TRUNCADO 1,ocgt,15.0,15.0,0,-46.78450301,-67.95030779,exacto,bfs,461.0,SCN_500_132kV,3,PTR1TG23 -> PTRUN235 -> PT1-132M -> SCN_132
476-1,476,HUEMDI01,HUEMUL SINOPEC,diesel,6.0,25.0,1,-46.56437011,-68.34058499,exacto,bfs,461.0,SCN_500_132kV,4,HUEMDI01 -> HUEMUL -> PTRUN235 -> PT1-132M -> SCN_132
478-1,478,MESEDI01,MESETA ESPINOSA,ocgt,10.076,10.8,1,-46.5853363,-67.70106413,exacto,bfs,461.0,SCN_500_132kV,5,MESEDI01 -> MESESPI -> ELCORDON -> PTRUN235 -> PT1-132M -> SCN_132
491-1,491,PATATG01,C.T. PATAGONIA,ccgt,30.227,39.3,1,-45.79263115,-67.51355697,exacto,bfs,461.0,SCN_500_132kV,4,PATATG01 -> CTPAT132 -> C.RIV.A1 -> PT1-132M -> SCN_132
492-2,492,PATATG02,C.T. PATAGONIA,ccgt,30.0,39.3,0,-45.79263115,-67.51355697,exacto,bfs,461.0,SCN_500_132kV,4,PATATG02 -> CTPAT132 -> C.RIV.A1 -> PT1-132M -> SCN_132
