line_id,line_key,bus_i,bus_j,ckt,r_pu,x_pu,b_pu,ratea_mva,rating_defined,len_km,element_type,in_service,geo_nombre,match_status,geometry
1,NPMADRYN-NPMD.CHL-1,10,11,1,0.0,-0.02369,0.0,1262.7,True,0.0,series_compensator,True,,compensador,
2,NPMADRYN-SCN_500-1,10,12,1,0.004529,0.05406,6.45816,866.0,True,552.3,line,True,N.P.MADRYN - SANTA CRUZ NORTE 500 1,directo,"LINESTRING (-65.1060076477347 -42.7062445217672, -65.1060872089575 -42.7066549840402, -65.2806809119945 -42.7523252797878, -65.8456048131116 -43.1903331557505, -65.9795836540624 -43.3841578409116, -65.9494207631577 -43.4476586018629, -65.9444564128331 -43.4516851112788, -65.9167071521134 -43.4742787115932, -65.9294178533512 -43.5650599328696, -65.9331294984275 -43.5918062489592, -65.9343296823689 -43.5965981066173, -65.9368336692384 -43.6060419197987, -66.0836364414686 -44.1573492262857, -66.0884877191329 -44.1752691578453, -66.1421713915964 -44.2203628370753, -66.146689390403 -44.2240064088686, -66.3312140864609 -44.3781540422752, -66.3996659624142 -44.4357239991632, -66.5221723714577 -44.5371336853713, -66.5732582280847 -44.5793055446151, -66.7120105715306 -44.693366420324, -66.8707267375489 -44.8231069489265, -67.0025029202735 -44.9302296953441, -67.0998501052981 -45.0086133017624, -67.3058482286128 -45.1553687795455, -67.4463729010885 -45.2608712012449, -67.6662838413262 -45.4290979551065, -67.8079217198115 -45.5366962513309, -67.9489183843759 -45.6423540426049, -67.9567709991823 -45.6481857117012, -67.9648531974171 -45.6541971381874, -67.9860861009927 -45.6699230836833, -68.0125806482782 -45.6895685093792, -68.0165546840514 -45.6924939014724, -68.0206933281345 -45.6957858275538, -68.0247714352535 -45.6992153768881, -68.0327731792388 -45.7062012403949, -68.0855063024738 -45.7513414037827, -68.0882094199288 -45.9535998942197, -68.0896375685189 -45.9575425625392, -68.0919002618875 -45.9633110794428, -68.1018262960467 -45.9894313360872, -68.1041298959779 -46.0005902382488, -68.1047683237991 -46.006500419059, -68.1168855723113 -46.1215831224631, -68.1201273432023 -46.1540528265766, -68.1250064368975 -46.1996699849818, -68.1600825363799 -46.2523228140466, -68.1881339333343 -46.2942494101821, -68.2292350849312 -46.3560271690186, -68.096423077463 -46.5412187087763, -68.0338797752314 -46.627951653446, -67.9898801527468 -46.6892104629925, -67.9883162065277 -46.6963087201713, -67.9814311111568 -46.7286979412569, -67.9806958964984 -46.7331092382008, -67.9802438513726 -46.7371380984445, -67.9799900815769 -46.7415664950976, -67.9799023967781 -46.7459891576734, -67.979954351512 -46.7498491432234, -67.9800977933784 -46.7646944051227, -67.9801571225531 -46.7682887408327, -67.9801709388377 -46.7717003486921, -67.9800040102768 -46.7725985618741)"
3,CHOCON-CHOCONOE-1,1000,1004,1,3.3e-05,0.000391,0.03655,1732.0,True,3.5,line,True,CHOCONOE CHOCON 500 1,paralela,"LINESTRING (-68.7797196322552 -39.2385480552485, -68.7782673719416 -39.2398595779571, -68.7744986621835 -39.2409540384981, -68.7668780068145 -39.243246157684, -68.7636071401574 -39.2460569203905, -68.7607473536074 -39.2486586392847, -68.7578356500952 -39.2512372770787, -68.7558756676279 -39.2531008792022, -68.7509296643724 -39.2570599916253, -68.7496937206886 -39.2575045885659)"
4,CHOCON-CHOCONOE-2,1000,1004,2,3.3e-05,0.000391,0.03655,1732.0,True,3.5,line,True,CHOCONOE CHOCON 500 2,paralela,"LINESTRING (-68.7784454763776 -39.2377219398156, -68.7769364364673 -39.238851051235, -68.7719890347661 -39.240512743868, -68.7673674772273 -39.2421082985591, -68.7631422374243 -39.2434638808534, -68.7618107803432 -39.244940517291, -68.7593750097489 -39.2475028980403, -68.7572549452595 -39.2499782504958, -68.7547968498947 -39.2524666763959, -68.7535749068564 -39.2538633271308, -68.7506710463317 -39.2568620949097, -68.7495438315825 -39.2572317639347)"
5,CHOCON-C.COSTA-1,1000,1012,1,0.000936,0.010008,0.93397,1299.0,True,90.0,line,True,CHOCON C.COSTA 500 1,paralela,"LINESTRING (-68.2570489232692 -38.7201515586475, -68.2606212372802 -38.7238753625579, -68.3873385824096 -38.8509419351221, -68.4731729514705 -38.9368125927269, -68.5416690641759 -39.0050036652869, -68.5514341196888 -39.0147954000876, -68.5613199631458 -39.027151742359, -68.6090621763783 -39.0857781346531, -68.6268137449583 -39.1075233963876, -68.6570859610482 -39.144680262684, -68.6819511130534 -39.1751018183942, -68.7186355420965 -39.2199696077112, -68.721274527997 -39.2232451571383, -68.7242889673619 -39.2269244230237, -68.7275449268569 -39.2308300446708, -68.7310313888875 -39.2352144069193, -68.7339757557764 -39.2387865572538, -68.7394450097793 -39.2464091965272, -68.7426661834975 -39.2507451293841, -68.7466192174029 -39.2573999146743, -68.7469159631012 -39.2577980328529)"
6,CHOCON-C.COSTA-2,1000,1012,2,0.000936,0.010008,0.93397,1299.0,True,90.0,line,True,CHOCON C.COSTA 500 2,paralela,"LINESTRING (-68.257682519033 -38.7197190270114, -68.2608532102075 -38.7229369236001, -68.2927674993206 -38.754982963393, -68.3660498075525 -38.8285394488365, -68.4360878438789 -38.8986574474832, -68.5521325916458 -39.014264569854, -68.6693323594008 -39.1583555875403, -68.7288628239601 -39.2311686798906, -68.7312684780578 -39.2341512274971, -68.7347538222311 -39.2384402688033, -68.7378475764045 -39.2425901571101, -68.7397614919992 -39.2453421059534, -68.7426249378905 -39.2492238092314, -68.744399017001 -39.2516890263275, -68.7478622927106 -39.2569497410377, -68.7483479526958 -39.25729232608)"
7,CHOCON-C.H.CHOC-1,1000,1018,1,1.3e-05,0.000145,0.01349,1299.0,True,1.3,line,True,CHOCON - C.H.CHOCON 500 1,paralela,"LINESTRING (-68.7485180927358 -39.258201399475, -68.7488079936939 -39.2585048055523, -68.7503530712372 -39.2614179227988, -68.7524970657869 -39.2647798206322, -68.7563231244126 -39.2655172952869)"
8,CHOCON-C.H.CHOC-2,1000,1018,2,1.3e-05,0.000145,0.01349,1299.0,True,1.3,line,True,CHOCON - C.H.CHOCON 500 2,paralela,"LINESTRING (-68.7564505529506 -39.2660105851203, -68.7521466359585 -39.2651843221986, -68.749738226338 -39.2616325163276, -68.7480943906436 -39.2587638085029, -68.7478299755729 -39.2584579373839)"
9,CHOCON-C.H.CHOC-3,1000,1018,3,1.3e-05,0.000145,0.01349,1299.0,True,1.3,line,True,CHOCON - C.H.CHOCON 500 3,paralela,"LINESTRING (-68.7471163725226 -39.2587070747716, -68.7474381310649 -39.2590006107895, -68.749018251591 -39.2619260406542, -68.7518057632254 -39.2655962215883, -68.7565397531071 -39.2664940057937)"
10,P.AGUILA-T.AGUI1-1,1002,1014,1,5.5e-05,0.000658,0.06161,1850.0,True,5.9,line,True,C.P.AGUILA  ET.P.AGUILA 500 1,paralela,"LINESTRING (-70.044237162515 -40.1635803111824, -70.0441738259613 -40.164480411142, -70.032038596404 -40.1741404276386, -70.0282257416246 -40.175456747331, -70.0145323970524 -40.1804023980522, -70.0060199757413 -40.1834412297289, -70.0028784873523 -40.1847670471615, -69.9962914947566 -40.1871282918372, -69.9923678003337 -40.1893926867231, -69.9916140965133 -40.1900410259725)"
11,P.AGUILA-T.AGUI1-2,1002,1014,2,5.5e-05,0.000658,0.06161,1850.0,True,5.9,line,True,C.P.AGUILA  ET.P.AGUILA 500 2,paralela,"LINESTRING (-69.992209459399 -40.1900894085993, -69.992671815252 -40.1897458873628, -69.9966556788165 -40.1876121432857, -70.0027613146829 -40.1854589774498, -70.0096143204445 -40.1829186381846, -70.0240550349119 -40.177697336263, -70.0326561275782 -40.1747066416981, -70.0383690762718 -40.1699686858062, -70.0445506400999 -40.16496877359, -70.044594938006 -40.1635803111824)"
12,CHOCONOE-CHOE.CH-1,1004,1006,1,0.002518,0.03002,2.80903,2041.0,True,269.0,line,True,CHOCON OESTE - CHOELE CHOEL 500 1,directo,"LINESTRING (-65.6944125668864 -39.568044295208, -65.6954926184895 -39.5681009003362, -65.7101102817641 -39.5655591032699, -68.4458519407145 -39.3509238982193, -68.7083102332306 -39.2489380955167, -68.7200632545155 -39.2391450054376, -68.7220894333806 -39.2376079849205, -68.7358973183066 -39.2355309466958, -68.7772835621866 -39.2360869957182, -68.7783682938617 -39.2367980509892, -68.7787190690298 -39.2370584119161)"
