line_id,line_key,bus_i,bus_j,ckt,r_pu,x_pu,b_pu,ratea_mva,rating_defined,len_km,element_type,in_service
1,NPMADRYN-NPMD.CHL-1,10,11,1,0.0,-0.02369,0.0,1262.7,True,0.0,series_compensator,True
2,NPMADRYN-SCN_500-1,10,12,1,0.004529,0.05406,6.45816,866.0,True,552.3,line,True
3,CHOCON-CHOCONOE-1,1000,1004,1,3.3e-05,0.000391,0.03655,1732.0,True,3.5,line,True
4,CHOCON-CHOCONOE-2,1000,1004,2,3.3e-05,0.000391,0.03655,1732.0,True,3.5,line,True
5,CHOCON-C.COSTA-1,1000,1012,1,0.000936,0.010008,0.93397,1299.0,True,90.0,line,True
6,CHOCON-C.COSTA-2,1000,1012,2,0.000936,0.010008,0.93397,1299.0,True,90.0,line,True
7,CHOCON-C.H.CHOC-1,1000,1018,1,1.3e-05,0.000145,0.01349,1299.0,True,1.3,line,True
8,CHOCON-C.H.CHOC-2,1000,1018,2,1.3e-05,0.000145,0.01349,1299.0,True,1.3,line,True
9,CHOCON-C.H.CHOC-3,1000,1018,3,1.3e-05,0.000145,0.01349,1299.0,True,1.3,line,True
10,P.AGUILA-T.AGUI1-1,1002,1014,1,5.5e-05,0.000658,0.06161,1850.0,True,5.9,line,True
11,P.AGUILA-T.AGUI1-2,1002,1014,2,5.5e-05,0.000658,0.06161,1850.0,True,5.9,line,True
12,CHOCONOE-CHOE.CH-1,1004,1006,1,0.002518,0.03002,2.80903,2041.0,True,269.0,line,True
13,CHOCONOE-T.AGUI1-1,1004,1014,1,0.001536,0.018314,1.71361,1850.0,True,164.1,line,True
14,CHOCONOE-T.AGUI1-2,1004,1014,2,0.001539,0.018347,1.71675,1850.0,True,164.4,line,True
15,CHOCONOE-A.CAJON-1,1004,1025,1,0.000414,0.005009,0.61871,1732.0,True,52.0,line,True
16,CHOE.CH-CH.CHOEL-1,1006,1008,1,0.0,-0.01734,0.0,1342.3,True,0.0,series_compensator,True
17,CHOE.PA-CH.CHOEL-2,1007,1008,2,0.0,-0.01461,0.0,1428.9,True,0.0,series_compensator,True
18,CHOE.PA-T.AGUI1-1,1007,1014,1,0.003109,0.03717,4.60202,1299.0,True,386.7,line,True
19,CH.CHOEL-CHOE.BB1-1,1008,1010,1,0.0,-0.01765,0.0,1333.7,True,0.0,series_compensator,True
20,CH.CHOEL-CHOE.BB2-2,1008,1011,2,0.0,-0.01391,0.0,1333.7,True,0.0,series_compensator,True
21,CHOE.BB1-B.BLANCA-1,1010,2000,1,0.003239,0.038614,3.61311,1981.0,True,346.0,line,True
22,CHOE.BB2-B.BLANCA-2,1011,2000,2,0.002801,0.033488,4.14622,1732.1,True,348.4,line,True
23,C.COSTA-P.BAND.-1,1012,1024,1,0.00028,0.003002,0.28019,866.0,True,27.0,line,True
24,C.COSTA-PUELCHE1-1,1012,1026,1,0.002226,0.023797,2.22078,1299.0,True,214.0,line,True
25,C.COSTA-PUELCHE1-2,1012,1026,2,0.002226,0.023797,2.22078,1299.0,True,214.0,line,True
26,T.AGUI1-ALICURA-1,1014,1016,1,0.000709,0.008459,0.79154,1386.0,True,75.8,line,True
27,T.AGUI1-ALICURA-2,1014,1016,2,0.000711,0.008482,0.79363,1386.0,True,76.0,line,True
28,T.AGUI1-PPLEUFU-1,1014,1022,1,0.00015,0.00173,0.21381,2041.0,True,27.0,line,True
29,L.LATA-P.BAND.-1,1020,1024,1,0.00042,0.00412,0.38263,692.0,True,13.0,line,True
