load_key,bus_id_origen,bus_name_origen,pl_mw,stat,match_type,bus_destino,bus_destino_name,n_saltos,camino
115-1,115,R.TURBIO,4.702,1,bfs,117,ESPERANZ_220kV,1,R.TURBIO -> ESPERANZ
118-1,118,RGALLEGO,23.053,1,bfs,117,ESPERANZ_220kV,1,RGALLEGO -> ESPERANZ
193-1,193,SERIE DT,240.0,1,sin_conexion,,,-1,
214-1,214,AL-CE0B,72.0,1,bfs,224,NPMADRYN_330kV,4,AL-CE0B -> AL-CEB -> APPA330C -> PMADR330 -> NPMAD330
217-1,217,AL-CE0A5,102.0,1,sin_conexion,,,-1,
222-1,222,AL-CE0A1,72.0,0,bfs,224,NPMADRYN_330kV,3,AL-CE0A1 -> APPA330B -> PMADR330 -> NPMAD330
227-1,227,SERV AUX,26.0,1,sin_conexion,,,-1,
230-1,230,DGPAL132,36.766,1,bfs,224,NPMADRYN_330kV,3,DGPAL132 -> PMADRYN1 -> PMADR330 -> NPMAD330
242-1,242,TREW13.2,5.458,0,bfs,224,NPMADRYN_330kV,5,TREW13.2 -> TRELW132 -> DGPAL132 -> PMADRYN1 -> PMADR330 -> NPMAD330
242-2,242,TREW13.2,12.621,0,bfs,224,NPMADRYN_330kV,5,TREW13.2 -> TRELW132 -> DGPAL132 -> PMADRYN1 -> PMADR330 -> NPMAD330
242-3,242,TREW13.2,13.314,1,bfs,224,NPMADRYN_330kV,5,TREW13.2 -> TRELW132 -> DGPAL132 -> PMADRYN1 -> PMADR330 -> NPMAD330
243-1,243,RAWSON,14.942,1,bfs,224,NPMADRYN_330kV,5,RAWSON -> TRELW132 -> DGPAL132 -> PMADRYN1 -> PMADR330 -> NPMAD330
244-1,244,TRELEW33,31.38,1,bfs,224,NPMADRYN_330kV,5,TRELEW33 -> TRELW132 -> DGPAL132 -> PMADRYN1 -> PMADR330 -> NPMAD330
250-1,250,AMEGH132,0.51,1,bfs,224,NPMADRYN_330kV,5,AMEGH132 -> TRELW132 -> DGPAL132 -> PMADRYN1 -> PMADR330 -> NPMAD330
250-2,250,AMEGH132,0.0,0,bfs,224,NPMADRYN_330kV,5,AMEGH132 -> TRELW132 -> DGPAL132 -> PMADRYN1 -> PMADR330 -> NPMAD330
259-1,259,AL-CEB,20.0,1,bfs,224,NPMADRYN_330kV,3,AL-CEB -> APPA330C -> PMADR330 -> NPMAD330
265-1,265,AL-CEB0C,72.0,0,bfs,224,NPMADRYN_330kV,3,AL-CEB0C -> APPA330C -> PMADR330 -> NPMAD330
268-1,268,SERIE AT,180.0,1,sin_conexion,,,-1,
269-1,269,SERIE BT,180.0,1,sin_conexion,,,-1,
282-1,282,ELBOLSON,1.596,1,bfs,224,NPMADRYN_330kV,10,ELBOLSON -> LIMRN-CH -> GOLONDRI -> GOLONDRI -> ELCOIHUE -> ELCOIHUE -> ESQUE132 -> FUTAL132 -> FUTAL330 -> PMADR330 -> NPMAD330
300-1,300,SGRAN132,4.882,1,bfs,224,NPMADRYN_330kV,3,SGRAN132 -> PMADRYN1 -> PMADR330 -> NPMAD330
310-1,310,PCOLO132,1.19,1,bfs,224,NPMADRYN_330kV,4,PCOLO132 -> SGRAN132 -> PMADRYN1 -> PMADR330 -> NPMAD330
315-1,315,RSCRUZ,1.592,1,directo,315,RSCRUZ_132kV,0,
315-2,315,RSCRUZ,1.592,1,directo,315,RSCRUZ_132kV,0,
316-1,316,S.JULIAN,4.833,0,bfs,315,RSCRUZ_132kV,1,S.JULIAN -> RSCRUZ
317-1,317,M.ESPEJO,10.0,0,bfs,315,RSCRUZ_132kV,2,M.ESPEJO -> S.JULIAN -> RSCRUZ
