line_key,geosadi_line_id
CHOE.PA-T.AGUI1-1,56
CHOE.BB1-B.BLANCA-1,73
CHOE.BB2-B.BLANCA-2,2747
A.CAJON-RDIAM.AC-1,2374
NPMD.CHL-CH.CHOEL-1,1832
B.BLANCA-OLA.BB1-1,75
B.BLANCA-OLA.BB2-2,76
B.BLANCA-VIVO.BB1-1,2629
OLA.AB1-ABASTO-1,77
OLA.AB2-ABASTO-2,78
R.COROND-CN-TSE-1,3109
TERMINAL_500-CN-TSE-1,3250
SGDE.ARG-SGAC1500-1,2871
SGDE.ARG-SGAC2500-1,2872
SGDE.ARG-SGAC3500-1,2873
SGDE.ARG-SGAC4500-1,2874
P.PATRIA-R6L5RS-1,365
CHACO-MQUEM-CH-1,2016
MALVINAS-REC.MALV-1,356
GRAN MZA-RDIAM.GM-1,2375
COBOS-MQUEM-CB-1,2017
ABASTO-EZBPASS-1,163
EZBPASS-RODRGUEZ-2,98
