gen_key,bus_name_origen,geosadi_name,nemo,bus_conexion500kv,bus_conexion500kv_name,carrier,p_nom,lat,lon,marginal_cost
406-1,CRIVTG26,CDRO RIVADAVIA,CRIV,461.0,SCN_500_132kV,ocgt,0.0,-45.81514536,-67.44448553,63.9
406-2,CRIVTG26,CDRO RIVADAVIA,CRIV,461.0,SCN_500_132kV,ocgt,0.0,-45.81514536,-67.44448553,63.9
409-1,CRIVTG21,CDRO RIVADAVIA,CRIV,461.0,SCN_500_132kV,ocgt,14.4,-45.81514536,-67.44448553,61.7
2620-1,ATU2NUCL,ATUCHA II,ATU2,2620.0,ATUCHA 2_21kV,nuclear,645.5654,-33.96725778,-59.20447619,27.0
6600-1,EMBANUCL,EMBALSE,EMBA,6600.0,EMBALSE_22kV,nuclear,612.6206,-32.23170202,-64.44339765,27.0
2610-1,ATUCNUCL,ATUCHA,ATUC,3120.0,RODRGUEZ_220kV_1,nuclear,334.89,-33.96704909,-59.20707389,27.0
1654-4,PAGUHI04,PIEDRA D AGUILA,PAGUHI,1654.0,P.AGUILA_15.7kV_4,hydro,360.0,-40.18983805,-69.99179417,
1651-1,PAGUHI01,PIEDRA D AGUILA,PAGUHI,1651.0,P.AGUILA_15.7kV_1,hydro,360.0,-40.18983805,-69.99179417,
1652-2,PAGUHI02,PIEDRA D AGUILA,PAGUHI,1652.0,P.AGUILA_15.7kV_2,hydro,360.0,-40.18983805,-69.99179417,
1653-3,PAGUHI03,PIEDRA D AGUILA,PAGUHI,1653.0,P.AGUILA_15.7kV_3,hydro,360.0,-40.18983805,-69.99179417,
2675-5,SNICTV15,SAN NICOLAS,SNIC,2105.0,RAMALLO_220kV,steam,263.6,-33.3562093,-60.17302726,53.7
3611-1,COSTTV10,COSTANERA,COST,3122.0,RODRGUEZ_220kV_2,ccgt,290.4,-34.62485385,-58.33970617,62.25
2697-3,GBELTV01,GRAL BELGRANO,GBEL,2697.0,BELGRANO1_20kV_3,ccgt,260.228,-34.18465152,-59.00618087,32.3
4693-3,VOBLTV01,CT VUELTA OBLIG,VOBL,4693.0,R.COROND_15.8kV_3,ccgt,273.7,-32.58017875,-60.7902966,32.9
2694-3,AESPTV01,AES-PARANA,AESP,2694.0,AES PARA_20kV,ccgt,294.81,-33.3548832,-60.17184631,33.6
4697-3,TIMBTV01,CT TIMBUES(GSMA,TIMB,4697.0,R.COROND_20kV_3,ccgt,262.35,-32.57768852,-60.7908046,32.0
2629-1,BBLATV29,BAHIA BLANCA,BBLA,2629.0,PBUENA1_20kV,steam,296.67,-38.78758101,-62.25409879,45.4
3607-7,COSTTV07,COSTANERA,COST,3100.0,ABASTO_220kV,steam,222.5,-34.62485385,-58.33970617,59.1
2630-2,BBLATV30,BAHIA BLANCA,BBLA,2630.0,PBUENA2_20kV,steam,296.67,-38.78758101,-62.25409879,45.4
3619-1,EBARTV01,ENSE. BARRAGAN,EBAR,3100.0,ABASTO_220kV,steam,276.73,-34.85880926,-57.95227994,33.2
2626-2,BROWTG02,GUILLERMO BROWN,BROW,2626.0,GUIBROWN_20kV_2,ocgt,287.92,-38.68547162,-62.41424292,29.5
4624-1,TER6TG11,COG Terminal 6,TER6,4624.0,TERMINAL_500_20kV,ocgt,285.36,-32.6647019,-60.75010668,34.6
3618-2,EBARTG02,ENSE. BARRAGAN,EBAR,3100.0,ABASTO_220kV,ocgt,269.2874,-34.85880926,-57.95227994,33.2
3617-1,EBARTG01,ENSE. BARRAGAN,EBAR,3100.0,ABASTO_220kV,ocgt,271.5,-34.85880926,-57.95227994,33.2
3644-1,DSUDTV11,DOCK SUD,DSUD,3110.0,EZEIZA_220kV_1,ccgt,272.6495,-34.65318462,-58.34174439,35.2
4698-1,BLOPTG01,BRIGAD. LOPEZ,BLOP,4313.0,S.TOME_132kV_2,ccgt,279.91,-31.71020189,-60.78028146,35.8
3669-1,CEPUTV10,NUEVO PUERTO,NPUE,3122.0,RODRGUEZ_220kV_2,ccgt,231.7,-34.57170662,-58.38211451,36.0
1606-1,ACAJTV07,AGUA DEL CAJON,CAPE,1203.0,A.CAJON_132kV_2,ccgt,256.7,-38.93631045,-68.35730715,29.7
8637-1,BRCHTG01,C.T BRACHO,BRCH,8637.0,BRACHO_15.8kV,ocgt,270.415,-26.99696942,-65.17048057,40.3
2693-2,AESPTG02,AES-PARANA,AESP,2693.0,AES PARA_15kV_2,ccgt,253.2,-33.3548832,-60.17184631,33.6
2696-2,GBELTG02,GRAL BELGRANO,GBEL,2696.0,BELGRANO1_20kV_2,ccgt,266.6,-34.18465152,-59.00618087,32.3
2692-1,AESPTG01,AES-PARANA,AESP,2692.0,AES PARA_15kV_1,ccgt,253.2,-33.3548832,-60.17184631,33.6
1611-1,ALICHI01,ALICURA,ALICHI,1611.0,ALICURA_13.8kV_1,hydro,262.5,-40.58419649,-70.74742631,
1612-2,ALICHI02,ALICURA,ALICHI,1612.0,ALICURA_13.8kV_2,hydro,262.5,-40.58419649,-70.74742631,
1613-3,ALICHI03,ALICURA,ALICHI,1613.0,ALICURA_13.8kV_3,hydro,262.5,-40.58419649,-70.74742631,
1614-4,ALICHI04,ALICURA,ALICHI,1614.0,ALICURA_13.8kV_4,hydro,262.5,-40.58419649,-70.74742631,
3609-1,COSTTG08,COSTANERA,COST,3110.0,EZEIZA_220kV_1,ccgt,255.1,-34.62485385,-58.33970617,37.0
