bus_name_origen,geosadi_name,nemo,carrier,p_nom,marginal_cost_match,cost_source,CVP_manual,
CRIVTG26,CDRO RIVADAVIA,CRIV,ocgt,0,YES,CVP_THERMAL,,
CRIVTG26,CDRO RIVADAVIA,CRIV,ocgt,0,YES,CVP_THERMAL,,
CRIVTG21,CDRO RIVADAVIA,CRIV,ocgt,14.4,YES,CVP_THERMAL,,
ATU2NUCL,ATUCHA II,ATU2,nuclear,645.5654,YES,CVP_THERMAL,,
EMBANUCL,EMBALSE,EMBA,nuclear,612.6206,YES,CVP_THERMAL,,
ATUCNUCL,ATUCHA,ATUC,nuclear,334.89,YES,CVP_THERMAL,,
PAGUHI04,PIEDRA D AGUILA,PAGUHI,hydro,360,PENDING,,,
PAGUHI01,PIEDRA D AGUILA,PAGUHI,hydro,360,PENDING,,,
PAGUHI02,PIEDRA D AGUILA,PAGUHI,hydro,360,PENDING,,,
PAGUHI03,PIEDRA D AGUILA,PAGUHI,hydro,360,PENDING,,,
SNICTV15,SAN NICOLAS,SNIC,steam,263.6,YES,CVP_THERMAL,,
COSTTV10,COSTANERA,COST,ccgt,290.4,YES,CVP_THERMAL_AVERAGE,,
GBELTV01,GRAL BELGRANO,GBEL,ccgt,260.228,YES,CVP_THERMAL,,
VOBLTV01,CT VUELTA OBLIG,VOBL,ccgt,273.7,YES,CVP_THERMAL,,
AESPTV01,AES-PARANA,AESP,ccgt,294.81,YES,CVP_THERMAL,,
TIMBTV01,CT TIMBUES(GSMA,TIMB,ccgt,262.35,YES,CVP_THERMAL,,
BBLATV29,BAHIA BLANCA,BBLA,steam,296.67,YES,CVP_THERMAL,,
COSTTV07,COSTANERA,COST,steam,222.5,YES,CVP_THERMAL,,
BBLATV30,BAHIA BLANCA,BBLA,steam,296.67,YES,CVP_THERMAL,,
EBARTV01,ENSE. BARRAGAN,EBAR,steam,276.73,YES,CVP_THERMAL,,
BROWTG02,GUILLERMO BROWN,BROW,ocgt,287.92,YES,CVP_THERMAL,,
TER6TG11,COG Terminal 6,TER6,ocgt,285.36,YES,CVP_THERMAL,,
EBARTG02,ENSE. BARRAGAN,EBAR,ocgt,269.2874,YES,CVP_THERMAL,,
EBARTG01,ENSE. BARRAGAN,EBAR,ocgt,271.5,YES,CVP_THERMAL,,
ACAJTV07,AGUA DEL CAJON,CAPE,ccgt,256.7,NO,,ACAJCC06,
BLOPTG01,BRIGAD. LOPEZ,BLOP,ccgt,279.91,YES,CVP_THERMAL,,
AVALTV12,ALTO VALLE,AVAL,ccgt,12.3504,NO,,AVALTG21,
AVALTV12,ALTO VALLE,AVAL,ccgt,12.3504,NO,,AVALTG21,
BRCHTG01,C.T BRACHO,BRCH,ocgt,270.415,YES,CVP_THERMAL,,
