trafo_id,trafo_key,bus_i,bus_j,ckt,origin,r_pu,x_pu,sbase_mva,in_service
1,NPMADRYN-221-1,10,221,1,3W_decomp,0.0,0.1826,600.0,True
2,NPMADRYN-583-1,10,583,1,3W_decomp,0.0,0.8895,600.0,True
3,NPMADRYN-221-2,10,221,2,3W_decomp,0.0,0.18,600.0,True
4,NPMADRYN-542-2,10,542,2,3W_decomp,0.0,0.9,600.0,True
5,NPMADRYN-224-1,10,224,1,3W_decomp,0.0,0.121005,450.0,True
6,NPMADRYN-501-1,10,501,1,3W_decomp,0.0,0.431505,450.0,True
7,SCN_500-461-1,12,461,1,3W_decomp,0.0,0.180495,150.0,True
8,SCN_500-479-1,12,479,1,3W_decomp,0.0,0.42,150.0,True
9,SCN_500-461-2,12,461,2,3W_decomp,0.0,0.181,150.0,True
10,SCN_500-484-2,12,484,2,3W_decomp,0.0,0.423,150.0,True
11,SCN_500-461-3,12,461,3,3W_decomp,0.0,0.18,150.0,True
12,SCN_500-554-3,12,554,3,3W_decomp,0.0,0.47,150.0,True
13,RSCRUZ-315-1,15,315,1,3W_decomp,0.0,0.176895,150.0,True
14,RSCRUZ-504-1,15,504,1,3W_decomp,0.0,0.488595,150.0,True
15,ESPERANZ-117-1,19,117,1,3W_decomp,0.0,0.12,300.0,True
16,ESPERANZ-545-1,19,545,1,3W_decomp,0.0,0.4244,300.0,True
17,CHOCON-1240-1,1000,1240,1,3W_decomp,0.0,0.141,100.0,True
18,CHOCON-1805-1,1000,1805,1,3W_decomp,0.0,0.279,100.0,True
19,CHOCON-1240-2,1000,1240,2,3W_decomp,0.0,0.14805,150.0,True
20,CHOCON-1806-2,1000,1806,2,3W_decomp,0.0,0.3519,150.0,True
21,P.AGUILA-1651-1,1002,1651,1,2W,0.0,0.135837,405.0,True
22,P.AGUILA-1652-2,1002,1652,2,2W,0.0,0.135837,405.0,True
23,P.AGUILA-1653-3,1002,1653,3,2W,0.0,0.135837,405.0,True
24,P.AGUILA-1654-4,1002,1654,4,2W,0.0,0.135837,405.0,True
25,CHOCONOE-1224-8,1004,1224,8,3W_decomp,0.0,0.132105,150.0,True
26,CHOCONOE-1803-8,1004,1803,8,3W_decomp,0.0,0.370305,150.0,True
27,CH.CHOEL-1226-3,1008,1226,3,3W_decomp,0.0,0.1326,150.0,True
28,CH.CHOEL-1821-3,1008,1821,3,3W_decomp,0.0,0.3686,150.0,True
29,CH.CHOEL-1226-5,1008,1226,5,3W_decomp,0.0,0.1334,100.0,True
30,CH.CHOEL-1804-5,1008,1804,5,3W_decomp,0.0,0.3013,100.0,True
31,ALICURA-1611-1,1016,1611,1,2W,0.0,0.129388,280.0,True
32,ALICURA-1612-2,1016,1612,2,2W,0.0,0.129388,280.0,True
33,ALICURA-1613-3,1016,1613,3,2W,0.0,0.129388,280.0,True
34,ALICURA-1614-4,1016,1614,4,2W,0.0,0.129388,280.0,True
35,ALICURA-1204-11,1016,1204,11,3W_decomp,0.0,0.17859,150.0,True
36,ALICURA-1299-11,1016,1299,11,3W_decomp,0.0,0.466785,150.0,True
37,ALICURA-1204-1,1016,1204,1,3W_decomp,0.0,0.1334,100.0,True
38,ALICURA-1297-1,1016,1297,1,3W_decomp,0.0,0.3013,100.0,True
39,C.H.CHOC-1661-1,1018,1661,1,3W_decomp,0.0,0.28296,540.0,True
40,C.H.CHOC-1662-1,1018,1662,1,3W_decomp,0.0,0.28296,540.0,True
41,C.H.CHOC-1665-3,1018,1665,3,3W_decomp,0.0,0.28296,540.0,True
42,C.H.CHOC-1666-3,1018,1666,3,3W_decomp,0.0,0.28296,540.0,True
43,C.H.CHOC-1663-2,1018,1663,2,3W_decomp,0.0,0.28296,540.0,True
44,C.H.CHOC-1664-2,1018,1664,2,3W_decomp,0.0,0.28296,540.0,True
45,L.LATA-1671-1,1020,1671,1,2W,0.0,0.15,150.0,True
46,L.LATA-1672-1,1020,1672,1,2W,0.0,0.15,150.0,True
47,L.LATA-1673-1,1020,1673,1,2W,0.0,0.15,150.0,True
48,L.LATA-1674-1,1020,1674,1,2W,0.0,0.15141,235.0,True
49,L.LATA-1675-1,1020,1675,1,2W,0.0,0.15,150.0,True
50,L.LATA-1677-5,1020,1677,5,2W,0.0,0.1528,150.0,True
51,PPLEUFU-1681-1,1022,1681,1,2W,0.0,0.1197,90.0,True
52,PPLEUFU-1682-2,1022,1682,2,2W,0.0,0.1197,90.0,True
53,PPLEUFU-1683-3,1022,1683,3,2W,0.0,0.1197,90.0,True
54,P.BAND.-1691-1,1024,1691,1,3W_decomp,0.0,0.28296,540.0,True
