carrier,generation_GWh,share_of_total_generation_%,existing_capacity_MW,new_capacity_built_MW,total_capacity_MW,capacity_factor_%,avg_marginal_cost_USD_per_MWh
wind,70602.5,37.62,3592.5,17253.0,20845.5,38.56,0.05
hydro,37296.6,19.87,9904.9,0.0,9904.9,42.87,0.03
ccgt,29797.7,15.88,9094.3,0.0,9094.3,37.3,32.75
solar,18327.0,9.77,1974.1,8723.4,10697.5,19.5,0.07
ocgt,16614.5,8.85,7501.2,0.0,7501.2,25.22,31.59
nuclear,10052.0,5.36,1593.1,0.0,1593.1,71.83,27.0
steam,3171.0,1.69,3789.3,0.0,3789.3,9.53,33.83
pumped_hydro,1000.0,0.53,376.0,0.0,376.0,30.28,0.0
biomass,377.3,0.2,73.6,0.0,73.6,58.33,0.0
diesel,270.0,0.14,1345.7,0.0,1345.7,2.28,37.71
biogas,163.4,0.09,36.0,0.0,36.0,51.67,0.0
load_shedding,0.0,0.0,10000000.0,0.0,10000000.0,0.0,0.0
