gen_key,bus_name_origen,geosadi_name,carrier,bus,p_nom_mw,total_energy_mwh,average_power_mw,peak_power_mw,capacity_factor_pct
2620-1,ATU2NUCL,ATUCHA II,nuclear,ATUCHA 2_21kV,645.5654,103694.58,617.23,624.4,95.61
6600-1,EMBANUCL,EMBALSE,nuclear,EMBALSE_22kV,612.6206,101268.93,602.79,605.25,98.4
3619-1,EBARTV01,ENSE. BARRAGAN,steam,ABASTO_220kV,276.73,45415.72,270.33,275.0,97.69
2625-1,BROWTG01,GUILLERMO BROWN,ocgt,GUIBROWN_20kV_1,287.624,42932.56,255.55,274.8,88.85
4693-3,VOBLTV01,CT VUELTA OBLIG,ccgt,R.COROND_15.8kV_3,273.7,42615.8,253.67,258.8,92.68
3617-1,EBARTG01,ENSE. BARRAGAN,ocgt,ABASTO_220kV,271.5,41966.97,249.8,262.4,92.01
2626-2,BROWTG02,GUILLERMO BROWN,ocgt,GUIBROWN_20kV_2,287.92,41627.84,247.78,256.2,86.06
2694-3,AESPTV01,AES-PARANA,ccgt,AES PARA_20kV,294.81,41240.04,245.48,291.0,83.27
3618-2,EBARTG02,ENSE. BARRAGAN,ocgt,ABASTO_220kV,269.2874,40598.72,241.66,250.1,89.74
3645-1,DSUDTG10,DOCK SUD,ccgt,EZEIZA_220kV_1,275.058,40102.18,238.7,247.63,86.78
1606-1,ACAJTV07,AGUA DEL CAJON,ccgt,A.CAJON_132kV_2,256.7,40088.89,238.62,251.8,92.96
3644-1,DSUDTV11,DOCK SUD,ccgt,EZEIZA_220kV_1,272.6495,39861.3,237.27,264.9,87.02
4624-1,TER6TG11,COG Terminal 6,ocgt,TERMINAL_500_20kV,285.36,39853.6,237.22,238.23,83.13
2697-3,GBELTV01,GRAL BELGRANO,ccgt,BELGRANO1_20kV_3,260.228,39582.25,235.61,254.4,90.54
4697-3,TIMBTV01,CT TIMBUES(GSMA,ccgt,R.COROND_20kV_3,262.35,39445.76,234.8,244.37,89.5
3643-3,GEBATV01,C.T. GENELBA,ccgt,EZE GENETV03_15.8kV_1,230.88,38690.43,230.3,230.88,99.75
2692-1,AESPTG01,AES-PARANA,ccgt,AES PARA_15kV_1,253.2,38342.72,228.23,235.89,90.14
2696-2,GBELTG02,GRAL BELGRANO,ccgt,BELGRANO1_20kV_2,266.6,38271.23,227.8,242.2,85.45
4691-1,VOBLTG01,CT VUELTA OBLIG,ccgt,R.COROND_15.8kV_1,262.0,38243.35,227.64,233.0,86.89
3646-2,DSUDTG09,DOCK SUD,ccgt,EZEIZA_220kV_1,274.92,38202.22,227.39,247.34,82.71
2695-1,GBELTG01,GRAL BELGRANO,ccgt,BELGRANO1_20kV_1,265.0,38010.79,226.25,241.2,85.38
4692-2,VOBLTG02,CT VUELTA OBLIG,ccgt,R.COROND_15.8kV_2,264.8,37507.97,223.26,231.5,84.31
4695-1,TIMBTG01,CT TIMBUES(GSMA,ccgt,R.COROND_20kV_1,272.2,37429.38,222.79,230.2,81.85
