line_id,line_key,s_nom_mva,average_flow_mw,peak_flow_mw,average_saturation_pct,peak_saturation_pct,hours_above_90pct
23.0,C.COSTA-P.BAND.-1,866.0,859.22,866.0,99.22,100.0,166
108.0,LUJAN.SL-GRAN MZA-1,866.0,585.69,866.0,67.63,100.0,14
71.0,EZEIZA-EZE GENETV03-1,600.0,385.56,472.58,64.26,78.76,0
104.0,ALMAFUE.-MALVINAS-1,1083.0,688.27,1083.0,63.55,100.0,58
32.0,PUELCHE2-MACACHIN-1,1299.0,806.61,1245.14,62.09,95.85,9
25.0,C.COSTA-PUELCHE1-2,1299.0,775.85,1216.7,59.73,93.66,6
24.0,C.COSTA-PUELCHE1-1,1299.0,775.85,1216.7,59.73,93.66,6
33.0,PUELCHE2-HENDERS1-2,1299.0,746.66,1159.43,57.48,89.26,0
30.0,A.CAJON-RDIAM.AC-1,1732.0,970.46,1411.61,56.03,81.5,0
29.0,L.LATA-P.BAND.-1,692.0,368.97,658.25,53.32,95.12,31
34.0,MACACHIN-HENDERS1-1,1299.0,676.51,1075.41,52.08,82.79,0
107.0,R.GRANDE-LUJAN.SL-1,866.0,424.01,795.56,48.96,91.87,1
97.0,RINCON-S.ISIDRO-1,866.0,415.08,522.64,47.93,60.35,0
35.0,NPMD.CHL-CH.CHOEL-1,1264.0,556.87,822.1,44.06,65.04,0
109.0,GRAN MZA-RDIAM.GM-1,1732.0,745.17,1151.69,43.02,66.49,0
43.0,B.BLANCA-VIVO.BB1-1,866.0,359.45,530.94,41.51,61.31,0
106.0,MALVINAS-REC.MALV-1,1083.0,437.93,961.21,40.44,88.75,0
64.0,RAMALLO-R.OESTE-1,1299.0,509.94,1147.85,39.26,88.36,0
94.0,RINCON-RESISTEN-1,1732.0,680.02,1282.11,39.26,74.02,0
18.0,CHOE.PA-T.AGUI1-1,1299.0,490.61,1078.15,37.77,83.0,0
69.0,EZEIZA-EZE.GENETG01-1,400.0,142.9,182.0,35.73,45.5,0
22.0,CHOE.BB2-B.BLANCA-2,1732.1,607.71,1087.4,35.09,62.78,0
2.0,NPMADRYN-SCN_500-1,866.0,303.43,354.76,35.04,40.97,0
59.0,ATUCHA 2-RAMALLO-1,1299.0,449.05,1000.74,34.57,77.04,0
42.0,B.BLANCA-PBUENA1-1,346.0,119.23,193.3,34.46,55.87,0
70.0,EZEIZA-EZE GENETG02-1,400.0,137.31,175.0,34.33,43.75,0
81.0,ROMANG-S.TOME-1,1083.0,366.96,618.33,33.88,57.09,0
117.0,RECREO-LAVALLE-1,865.0,281.07,552.2,32.49,63.84,0
98.0,RESISTEN-GRANFORMOSA-1,866.0,279.8,620.55,32.31,71.66,0
122.0,LAVALLE-SANTIAGO-1,866.0,278.71,392.7,32.18,45.35,0
103.0,ALMAFUE.-EMBALSE-1,1519.0,483.93,1039.71,31.86,68.45,0
